Autauga County,alabama,37
Baldwin County,alabama,41.1
Barbour County,alabama,39
Bibb County,alabama,37.8
Blount County,alabama,39
Bullock County,alabama,38.5
Butler County,alabama,40.1
Calhoun County,alabama,38.2
Chambers County,alabama,41.5
Cherokee County,alabama,43.9
Chilton County,alabama,37.6
Choctaw County,alabama,43.4
Clarke County,alabama,40.2
Clay County,alabama,42
Cleburne County,alabama,40.6
Coffee County,alabama,37.6
Colbert County,alabama,41.8
Conecuh County,alabama,43
Coosa County,alabama,44.2
Covington County,alabama,42.4
Crenshaw County,alabama,40.7
Cullman County,alabama,39.9
Dale County,alabama,36.1
Dallas County,alabama,37.7
DeKalb County,alabama,37.5
Elmore County,alabama,37.8
Escambia County,alabama,39.2
Etowah County,alabama,40.2
Fayette County,alabama,42.5
Franklin County,alabama,37.8
Geneva County,alabama,42
Greene County,alabama,41.8
Hale County,alabama,40
Henry County,alabama,42.8
Houston County,alabama,38.5
Jackson County,alabama,41.4
Jefferson County,alabama,37.1
Lamar County,alabama,43.5
Lauderdale County,alabama,40.4
Lawrence County,alabama,40.6
Lee County,alabama,29.5
Limestone County,alabama,38.4
Lowndes County,alabama,40.6
Macon County,alabama,36.3
Madison County,alabama,37.3
Marengo County,alabama,40.4
Marion County,alabama,42.8
Marshall County,alabama,38.2
Mobile County,alabama,36.6
Monroe County,alabama,40.1
Montgomery County,alabama,34.9
Morgan County,alabama,39
Perry County,alabama,37.2
Pickens County,alabama,41.9
Pike County,alabama,31.4
Randolph County,alabama,41.2
Russell County,alabama,35.8
Shelby County,alabama,36.9
St. Clair County,alabama,38.6
Sumter County,alabama,37.7
Talladega County,alabama,39.3
Tallapoosa County,alabama,42.4
Tuscaloosa County,alabama,31.2
Walker County,alabama,41.2
Washington County,alabama,39.7
Wilcox County,alabama,38.8
Winston County,alabama,43.1
Apache County,arizona,32.4
Cochise County,arizona,39.7
Coconino County,arizona,31
Gila County,arizona,47.9
Graham County,arizona,31.6
Greenlee County,arizona,34.8
La Paz County,arizona,53.9
Maricopa County,arizona,34.6
Mohave County,arizona,47.6
Navajo County,arizona,34.7
Pima County,arizona,37.7
Pinal County,arizona,35.3
Santa Cruz County,arizona,35.6
Yavapai County,arizona,49.2
Yuma County,arizona,33.8
Arkansas County,arkansas,40.7
Ashley County,arkansas,40.3
Baxter County,arkansas,50.6
Benton County,arkansas,34.3
Boone County,arkansas,41.4
Bradley County,arkansas,40.3
Calhoun County,arkansas,43.4
Carroll County,arkansas,44
Chicot County,arkansas,41.8
Clark County,arkansas,33.5
Clay County,arkansas,43.2
Cleburne County,arkansas,46.8
Cleveland County,arkansas,40.2
Columbia County,arkansas,37
Conway County,arkansas,40.5
Craighead County,arkansas,33.2
Crawford County,arkansas,37.6
Crittenden County,arkansas,34.2
Cross County,arkansas,39.7
Dallas County,arkansas,42.7
Desha County,arkansas,38.7
Drew County,arkansas,36.9
Faulkner County,arkansas,31.5
Franklin County,arkansas,39.8
Fulton County,arkansas,47
Garland County,arkansas,44.4
Grant County,arkansas,39.5
Greene County,arkansas,37.9
Hempstead County,arkansas,37.7
Hot Spring County,arkansas,40.1
Howard County,arkansas,38.4
Independence County,arkansas,39
Izard County,arkansas,47.3
Jackson County,arkansas,40.5
Jefferson County,arkansas,37.4
Johnson County,arkansas,37.2
Lafayette County,arkansas,43.3
Lawrence County,arkansas,40.9
Lee County,arkansas,39.8
Lincoln County,arkansas,38
Little River County,arkansas,41.2
Logan County,arkansas,41.4
Lonoke County,arkansas,35.3
Madison County,arkansas,40.9
Marion County,arkansas,50.1
Miller County,arkansas,37.2
Mississippi County,arkansas,34.9
Monroe County,arkansas,44.2
Montgomery County,arkansas,46.8
Nevada County,arkansas,41.6
Newton County,arkansas,46
Ouachita County,arkansas,42.1
Perry County,arkansas,41.6
Phillips County,arkansas,36.9
Pike County,arkansas,40.2
Poinsett County,arkansas,39.8
Polk County,arkansas,43.1
Pope County,arkansas,35.1
Prairie County,arkansas,44.5
Pulaski County,arkansas,36
Randolph County,arkansas,41.9
Saline County,arkansas,38.8
Scott County,arkansas,39.8
Searcy County,arkansas,46.8
Sebastian County,arkansas,36.7
Sevier County,arkansas,33.7
Sharp County,arkansas,47
St. Francis County,arkansas,37.2
Stone County,arkansas,47.7
Union County,arkansas,40.1
Van Buren County,arkansas,46.6
Washington County,arkansas,30.7
White County,arkansas,36
Woodruff County,arkansas,43.3
Yell County,arkansas,37.8
Alameda County,california,36.6
Alpine County,california,46.7
Amador County,california,48.2
Butte County,california,37.2
Calaveras County,california,49.2
Colusa County,california,33.5
Contra Costa County,california,38.5
Del Norte County,california,39.1
El Dorado County,california,43.6
Fresno County,california,30.6
Glenn County,california,35.3
Humboldt County,california,37.1
Imperial County,california,31.9
Inyo County,california,45.6
Kern County,california,30.7
Kings County,california,31.1
Lake County,california,45
Lassen County,california,37.1
Los Angeles County,california,34.8
Madera County,california,33
Marin County,california,44.5
Mariposa County,california,49.2
Mendocino County,california,41.5
Merced County,california,29.6
Modoc County,california,46.1
Mono County,california,37.2
Monterey County,california,32.9
Napa County,california,39.7
Nevada County,california,47.6
Orange County,california,36.2
Placer County,california,40.3
Plumas County,california,49.6
Riverside County,california,33.7
Sacramento County,california,34.8
San Benito County,california,34.3
San Bernardino County,california,31.7
San Diego County,california,34.6
San Francisco County,california,38.5
San Joaquin County,california,32.7
San Luis Obispo County,california,39.4
San Mateo County,california,39.3
Santa Barbara County,california,33.6
Santa Clara County,california,36.2
Santa Cruz County,california,36.9
Shasta County,california,41.8
Sierra County,california,50.9
Siskiyou County,california,47
Solano County,california,36.9
Sonoma County,california,39.9
Stanislaus County,california,32.9
Sutter County,california,34.5
Tehama County,california,39.5
Trinity County,california,49.3
Tulare County,california,29.6
Tuolumne County,california,47.3
Ventura County,california,36.2
Yolo County,california,30.4
Yuba County,california,32.1
Adams County,colorado,32.4
Alamosa County,colorado,32.9
Arapahoe County,colorado,35.7
Archuleta County,colorado,48.4
Baca County,colorado,47.4
Bent County,colorado,39.8
Boulder County,colorado,35.8
Broomfield County,colorado,36.4
Chaffee County,colorado,47.4
Cheyenne County,colorado,42.7
Clear Creek County,colorado,46.6
Conejos County,colorado,38.2
Costilla County,colorado,49
Crowley County,colorado,38.9
Custer County,colorado,53.3
Delta County,colorado,45.6
Denver County,colorado,33.7
Dolores County,colorado,44.7
Douglas County,colorado,36.6
Eagle County,colorado,34
El Paso County,colorado,34.1
Elbert County,colorado,43.8
Fremont County,colorado,43.6
Garfield County,colorado,34.5
Gilpin County,colorado,45.6
Grand County,colorado,41.2
Gunnison County,colorado,34.3
Hinsdale County,colorado,47.1
Huerfano County,colorado,51.8
Jackson County,colorado,47.3
Jefferson County,colorado,40.4
Kiowa County,colorado,47.4
Kit Carson County,colorado,39.7
La Plata County,colorado,38.4
Lake County,colorado,35
Larimer County,colorado,35.5
Las Animas County,colorado,43.9
Lincoln County,colorado,40.9
Logan County,colorado,38.4
Mesa County,colorado,38.1
Mineral County,colorado,53.1
Moffat County,colorado,35.8
Montezuma County,colorado,42.9
Montrose County,colorado,42
Morgan County,colorado,36
Otero County,colorado,40.9
Ouray County,colorado,50
Park County,colorado,46.9
Phillips County,colorado,42.8
Pitkin County,colorado,42
Prowers County,colorado,36.7
Pueblo County,colorado,38.7
Rio Blanco County,colorado,38
Rio Grande County,colorado,41
Routt County,colorado,38.9
Saguache County,colorado,43.3
San Juan County,colorado,43.8
San Miguel County,colorado,39.3
Sedgwick County,colorado,49.2
Summit County,colorado,36.4
Teller County,colorado,47
Washington County,colorado,44.2
Weld County,colorado,33.1
Yuma County,colorado,38.5
Fairfield County,connecticut,39.5
Hartford County,connecticut,39.9
Litchfield County,connecticut,44.4
Middlesex County,connecticut,43.1
New Haven County,connecticut,39.3
New London County,connecticut,40.4
Tolland County,connecticut,38.3
Windham County,connecticut,39.2
Kent County,delaware,36.6
New Castle County,delaware,37.2
Sussex County,delaware,45.4
District of Columbia,district of columbia,33.8
Alachua County,florida,30.1
Baker County,florida,36
Bay County,florida,39.5
Bradford County,florida,39.5
Brevard County,florida,45.5
Broward County,florida,39.7
Calhoun County,florida,39.7
Charlotte County,florida,55.9
Citrus County,florida,54
Clay County,florida,38
Collier County,florida,46.9
Columbia County,florida,39.9
DeSoto County,florida,38.1
Dixie County,florida,45.4
Duval County,florida,35.8
Escambia County,florida,37.6
Flagler County,florida,47.5
Franklin County,florida,42.4
Gadsden County,florida,38.9
Gilchrist County,florida,40.6
Glades County,florida,43.1
Gulf County,florida,42.7
Hamilton County,florida,38.1
Hardee County,florida,32.8
Hendry County,florida,32.8
Hernando County,florida,47.7
Highlands County,florida,51.5
Hillsborough County,florida,36.1
Holmes County,florida,41.3
Indian River County,florida,49.1
Jackson County,florida,40.5
Jefferson County,florida,44.1
Lafayette County,florida,36.2
Lake County,florida,45.6
Lee County,florida,45.6
Leon County,florida,29.6
Levy County,florida,45
Liberty County,florida,37
Madison County,florida,40.2
Manatee County,florida,45.7
Marion County,florida,47.3
Martin County,florida,49.7
Miami-Dade County,florida,38.2
Monroe County,florida,46.4
Nassau County,florida,42.9
Okaloosa County,florida,38.3
Okeechobee County,florida,38.6
Orange County,florida,33.7
Osceola County,florida,35.6
Palm Beach County,florida,43.5
Pasco County,florida,43.6
Pinellas County,florida,46.3
Polk County,florida,39.8
Putnam County,florida,43.4
Santa Rosa County,florida,39.2
Sarasota County,florida,52.5
Seminole County,florida,38.2
St. Johns County,florida,42.2
St. Lucie County,florida,42.4
Sumter County,florida,62.7
Suwannee County,florida,42.2
Taylor County,florida,41.1
Union County,florida,39.1
Volusia County,florida,45.3
Wakulla County,florida,38.8
Walton County,florida,42.1
Washington County,florida,40.3
Appling County,georgia,38.1
Atkinson County,georgia,33.4
Bacon County,georgia,36.9
Baker County,georgia,41.6
Baldwin County,georgia,34.1
Banks County,georgia,38.4
Barrow County,georgia,33.6
Bartow County,georgia,36.2
Ben Hill County,georgia,37.1
Berrien County,georgia,38
Bibb County,georgia,35.6
Bleckley County,georgia,35.9
Brantley County,georgia,37.8
Brooks County,georgia,40.3
Bryan County,georgia,35.7
Bulloch County,georgia,25.9
Burke County,georgia,35.9
Butts County,georgia,38.1
Calhoun County,georgia,38.7
Camden County,georgia,31.3
Candler County,georgia,37.6
Carroll County,georgia,33.5
Catoosa County,georgia,38.3
Charlton County,georgia,38.2
Chatham County,georgia,34
Chattahoochee County,georgia,24
Chattooga County,georgia,39.3
Cherokee County,georgia,36.3
Clarke County,georgia,25.9
Clay County,georgia,45.8
Clayton County,georgia,31.6
Clinch County,georgia,36.8
Cobb County,georgia,35.4
Coffee County,georgia,34.8
Colquitt County,georgia,34.8
Columbia County,georgia,36.8
Cook County,georgia,36.4
Coweta County,georgia,36.6
Crawford County,georgia,41.5
Crisp County,georgia,38.1
Dade County,georgia,39
Dawson County,georgia,40.6
DeKalb County,georgia,34.3
Decatur County,georgia,37.7
Dodge County,georgia,38.5
Dooly County,georgia,40
Dougherty County,georgia,33.2
Douglas County,georgia,35
Early County,georgia,39.3
Echols County,georgia,31.4
Effingham County,georgia,35.1
Elbert County,georgia,41.1
Emanuel County,georgia,36.8
Evans County,georgia,35.9
Fannin County,georgia,48.3
Fayette County,georgia,42.4
Floyd County,georgia,37.6
Forsyth County,georgia,36.9
Franklin County,georgia,40.9
Fulton County,georgia,34.2
Gilmer County,georgia,43.4
Glascock County,georgia,39.3
Glynn County,georgia,39.4
Gordon County,georgia,36
Grady County,georgia,37.8
Greene County,georgia,46.4
