1,alabama,AL
2,arizona,AZ
3,arkansas,AR
4,california,CA
5,colorado,CO
6,connecticut,CT
7,delaware,DE
8,district of columbia,DC
9,florida,FL
10,georgia,GA
11,idaho,ID
12,illinois,IL
13,indiana,IN
14,iowa,IA
15,kansas,KS
16,kentucky,KY
17,louisiana,LA
18,maine,ME
19,montana,MT
20,nebraska,NE
21,nevada,NV
22,new hampshire,NH
23,new jersey,NJ
24,new mexico,NM
25,new york,NY
26,north carolina,NC
27,north dakota,ND
28,ohio,OH
29,oklahoma,OK
30,oregon,OR
31,maryland,MD
32,massachusetts,MA
33,michigan,MI
34,minnesota,MN
35,mississippi,MS
36,missouri,MO
37,pennsylvania,PA
38,rhode island,RI
39,south carolina,SC
40,south dakota,SD
41,tennessee,TN
42,texas,TX
43,utah,UT
44,vermont,VT
45,virginia,VA
46,washington,WA
47,west virginia,WV
48,wisconsin,WI
49,wyoming,WY
