mallid,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
0,Governor's Square Mall,Montgomery County,tennessee,47125,36.500354,-87.380887,172331,70098,1396461566,12050596,539.177,4.653,3.3,30.9,29.2,30,8,0.6,2.1,19.1,71.6,51,49,28.4,90.8,2.4,71,11.7,"cookies:1,sporting goods:2,women's clothing:3,children's apparel:2,home furnishings:1,hair care:1,clothing:16,shoes:1,department store:1,jewelry:2,eyewear:1,girl's clothing:1,telecommunication:1,diamonds:1,sports apparel:1,beauty products:1,children's clothing:1,consumer electronics:1,restaurant:2, beauty products:1,nutritional supplements:2,footwear:3"
1,Medley Centre,Wayne County,new york,36117,43.458758,-77.063164,93772,41057,1563902765,2018182309,603.826,779.225,1.5,42.4,40.8,41.6,14.3,0.3,0.5,3.1,69.2,50.4,49.6,30.8,89.1,1.3,92.9,9.4,"women's shoes:1,women's clothing:1,children's apparel:1,sports apparel:1,clothing:3,maternity clothing:1,department store:1,jewelry:1,restaurant:4,video games:1,nutritional supplements:2"
2,Panama City Mall,Bay County,florida,12005,30.237563,-85.631348,168852,99650,1964400618,711453131,758.459,274.694,4.2,40.6,38.4,39.5,14.5,0.7,2,10.8,65,50.5,49.5,35,68.7,1.2,82.2,28.9,"personalized gifts:1,consumer electronics:1,cookies:1,telecommunication:1,women's jewelry:1,headwear:1, beauty products:1,restaurant:4,women's clothing:2,hair care:1,nutritional supplements:1,jewelry:5,beauty products:1,footwear:1,sporting goods:1,girl's clothing:1,children's clothing:1,clothing:10, clothing:1,ice cream:1,shoes:1"
3,The Plaza at Buckland Hills,Hartford County,connecticut,9003,41.806053,-72.732916,894014,374249,1903891914,40213499,735.097,15.527,1.4,41.4,38.2,39.9,14.6,0.3,4.2,13.3,64.9,51.7,48.3,35.1,93.7,7.1,72.4,8,"coffee:1,plus size clothing:1,restaurant:2"
4,Conyers Crossroads,Rockdale County,georgia,13247,33.652081,-84.02637,85215,33272,336161686,5969943,129.793,2.305,3.7,38.3,35.2,36.9,10.6,0.3,1.8,46.4,75,52.4,47.6,25,90.2,4.5,44.8,13.1,"ice cream:1,beauty products:1,footwear:2,sporting goods:1,restaurant:2,clothing:3,plus size clothing:1,women's clothing:1,girl's clothing:1"
5,Walden Galleria,Erie County,new york,36029,42.752759,-78.778192,919040,419974,2700563452,476973805,1042.693,184.161,1.2,42.1,38.5,40.4,15.7,0.6,2.6,13.5,60,51.8,48.2,40,91.2,1.5,80,8.5,"men's clothing:1,cookies:1,makeup:1,men's gifts:1,shoes:3,headwear:1,denim:1,plus size clothing:2,women's clothing:9,coffee:1,children's apparel:1,home furnishings:1,beauty products:3,photography:2,sporting goods:1,children's clothing:1,clothing:23,diamonds:1,women's shoes:2,fasion wholesale:1,consumer electronics:2,hair care:2,stuffed animals:1,sports clothing:1,jewelry:4,restaurant:7,candles:1, accessories:1,children's footwear:1, beauty products:1,eyewear:3,perfume:1,nutritional supplements:1,telecommunication:2,footwear:3,women's handbags:1,girl's clothing:1,furniture:2, clothing:1,clothing & shoes:1,personalized gifts:1"
6,Sugarloaf Mills,Gwinnett County,georgia,13135,33.959101,-84.022938,805321,291547,1114687261,16555611,430.383,6.392,3.3,34.8,32.5,33.7,6.8,0.5,10.6,23.6,75.7,50.7,49.3,24.3,92.1,8.8,53.3,10.7,"consumer electronics:1,cookies:1,footwear:2,cellular accessories:1,shoes:1,restaurant:4,coffee:1,children's apparel:1,perfume:1,sports apparel:1,ice cream:1,beauty products:1,women's jewelry:1,nutritional supplements:2,girl's clothing:1,clothing:4,disney:1,jewelry:1"
7,Derby Street Shoppes,Suffolk County,massachusetts,25025,42.33196,-71.020173,722023,315522,150618894,160748611,58.154,62.065,2.1,32.1,30.9,31.5,10.5,0.4,8.2,21.6,48,51.8,48.2,52,92.8,9.7,56,5.3,"men's clothing:1,consumer electronics:1,women's shoes:1,telecommunication:1,restaurant:1,candles:1, accessories:1,children's footwear:1,women's clothing:5,children's apparel:1,clothing & shoes:1,books and digital media:1,clothing:5,children's clothing:1,ice cream:1,furniture:1"
8,The Streets at Southpoint,Durham County,north carolina,37063,36.036589,-78.877919,267587,120217,740672748,30797770,285.975,11.891,3.1,34.2,32.3,33.2,9.8,0.5,4.6,38,58.1,52.3,47.7,41.9,91,7.9,46.4,10.2,"men's clothing:1,cookies:1,chocolates:1,men's gifts:1,shoes:2,headwear:1,denim:1,makeup:1,women's clothing:9,children's apparel:2,skincare:1,beauty products:3,clothing & shoes:1,hair care:1,children's clothing:1,clothing:21,stuffed animals:1,consumer electronics:1,jewelry:5,restaurant:4,girl's clothing:1,candles:1, accessories:1,children's footwear:1, beauty products:1,eyewear:1,nutritional supplements:1,telecommunication:2,footwear:2,women's handbags:1,diamonds:1,books and digital media:1,furniture:2, clothing:1,women's shoes:2,personalized gifts:1"
9,Muncie Mall,Delaware County,indiana,18035,40.227165,-85.398856,117671,52357,1015596276,9803976,392.124,3.785,3,36,33.4,34.8,14.7,0.3,1,6.9,60.1,51.9,48.1,39.9,88.8,0.6,89.1,10.6,"consumer electronics:1,video games:1,shoes:1,headwear:1,photography:1,plus size clothing:1,women's clothing:5,eyewear:1, clothing:2,nutritional supplements:1,jewelry:3,department store:1,beauty products:1,footwear:1,girl's clothing:1,children's clothing:1,clothing:9,women's jewelry:2,guest services:1,personalized gifts:1"
