store_name,store_new_id
1020 glass art,0
anne moore,1
austin java,2
mac,3
bangolufsen,4
bar chi sushi,5
bed beyond,6
best buy,7
boconcept,8
cantina laredo,9
cathys cleaners,10
cru,11
delish,12
design within reach,13
att,14
eliza page,15
estilo boutique,16
etcetera etc,17
finch,18
gallery d,19
girl next door,20
home depot,21
how do you roll?,22
iii forks steakhouse,23
jos hot coffee,24
la condesamalverda,25
lamberts bbq,26
langford market,27
leaf,28
loft,29
malaga,30
malverde,31
mama fus,32
marshalls,33
mercury design studio,34
milkhoney spa,35
missbehave boutique,36
nordstrom,37
peytons place,38
plain ivey jane,39
prize,40
royal blue grocery,41
salon by milkhoney,42
st bernard sports,43
tart frozen yogurt,44
teddies for bettys,45
teuscher chocolates,46
trace,47
violet crown cinema,48
wee,49
muvico theaters,50
toys r us,51
ace hardware,52
bank of america,53
barbeques galore,54
bretts bbq,55
capri blu,56
cinnabar acupuncture clnc,57
civil disobedience,58
coffee bean,59
color me mine,60
cost plus world market,61
daphnes greek cafe,62
dr,63
european wax,64
geppettos,65
gloss beauty supply,66
verizon,67
great clips,68
hollywood tans,69
chilis,70
jamba juice,71
jimbos naturally,72
kids care club,73
mabels,74
maggie moos ice cream,75
panera,76
pei wei asian,77
petpeople,78
premier cleaners,79
prestige nail salon,80
credit union,81
pure barre,82
ralphs,83
eye care,84
remax,85
sublime pizza,86
the racquet place,87
the ups store,88
tre womens,89
united self defense,90
wahoos fish taco,91
washington mutual bank,92
wells fargo,93
wendys,94
zocalo,95
alfred angelo bridal,96
ann taylor,97
anthropologie,98
apple computer,99
armandos salon,100
bcbgmaxazria,101
bebe,102
bravo cucina,103
california pizza,104
carolyn pollack jewelry,105
coldwater creek,106
complete nutrition,107
eddie bauer,108
elephant bar,109
fidelity investments,110
francescas,111
gap,112
gymboree,113
hot accessories,114
chicos,115
j jill,116
j crew,117
jared,118
jos a bank,119
la bella,120
loccitane,121
lucky brand,122
lululemon athletica,123
lush,124
marcellos chophouse,125
mcalisters deli,126
perfume max,127
pottery barn,128
select comfort,129
soma intimates,130
starbucks,131
sunglass hut,132
talbots,133
the melting pot,134
the north face,135
t mobile,136
white house black market,137
williams sonoma,138
yoyo bliss bar,139
big dog sportswear,140
bon worth,141
coleman,142
corningrevere,143
easy spirit,144
factory brand shoes,145
kitchen collection,146
leggs hanes bali playtex,147
liz claiborne,148
swank factory store,149
the paper factory,150
adrian goldsilver exchange,151
aeropostale,152
american eagle,153
american greeting,154
bathbody,155
centennial wireless,156
claires,157
comtronics,158
deb,159
elder beerman,160
enzo,161
finish line,162
game frenzy,163
garfields,164
gnc,165
golden gear,166
christopherbanks,167
jcpenney,168
k nails,169
kay jewelersry,170
lil orbits,171
magic wok,172
mastercuts,173
maurices,174
mc sporting goods,175
moonwalk adventures,176
payless,177
pearle vision,178
piercing pagoda,179
radio shack,180
regis,181
rogershollands,182
sam goody,183
sears,184
sprint,185
tax pro filers,186
shoe dept,187
tims eatery,188
waldenbooks,189
weight watchers,190
york country designs,191
bank of north georgia,192
cinco mexican restaurant,193
honeybaked ham,194
hooter,195
chick fila,196
chipotle mexican grill,197
jenny craig,198
la fitness,199
lane bryant,200
longhorn steakhouse,201
my friends place,202
nail stop,203
officemax,204
party city,205
pinkberry,206
subway,207
sports authority,208
the vitamin shoppe,209
top spice thaimalaysian,210
us post office,211
winestyles,212
armani,213
abc drugs,214
abc stores centerstage,215
abercrombie,216
al phillips the cleaner,217
ala bella,218
ala moana golf shop,219
aldo,220
american apparel,221
american savings bank,222
amys hallmark,223
animation magic,224
anteprima plastiq,225
as seen on,226
bag n baggage,227
bally,228
banana republic,229
bank of hawaii,230
bare escentuals,231
barnesnoble,232
ben bridge,233
betsy johnson,234
blue hawaii lifestyle,235
blue hawaii surf,236
bottega veneta,237
brighton,238
brontibay paris,239
burberry,240
bvlgari,241
cache,242
cartier,243
celebrity tuxedos,244
cinnamon girl,245
clarks,246
club monaco,247
coach,248
cole haan,249
continentalairlines,250
crazy shirts,251
crocs,252
damiani,253
dewcarat,254
diane von furstenberg,255
diesel,256
dior,257
disney,258
dooneybourke,259
ecko,260
elephant walk,261
escada,262
express,263
fendi,264
folli follie,265
footlocker,266
forever 21,267
fossil,268
game stop,269
gilly hicks,270
gucci,271
guess,272
harry winston,273
hawaii island creations,274
hawaiian quilt collection,275
hermes,276
hino hairstyleswigs,277
hoala salon and spa,278
hollister,279
honolulu city info,280
honolulu stlte city hall,281
hot topic,282
hula lehua,283
champs sportort,284
chanel boutique,285
chanel fine jewelry,286
ilori,287
island edge,288
island magnets,289
janie and jack,290
jeans warehouse,291
jimmy choo,292
journeys,293
jtb usa,294
juicy couture,295
jungle fun,296
kahala,297
kate spade,298
lacoste,299
le grand marqet,300
le lotus bleu,301
le lotus bleu mens,302
le sportsac,303
lenscrafter,304
levis,305
lids,306
links of london,307
local motion,308
loco boutique,309
longs drug,310
louis vuitton,311
mani pedi spa,312
maui divers jewelry,313
maui waterwear,314
max,315
michaelkors,316
miu miu,317
montblanc,318
na hoku,319
nails lmour,320
neiman marcus,321
nine west,322
oakley,323
old navy,324
oli oli salon,325
opal fields,326
origins,327
pacific sunwear,328
pandora,329
paniolo trading,330
paris miki optical,331
philip rickard factory,332
philip rickard honolulu,333
pipe dreams,334
ralph lauren,335
ponte vecchio hotta,336
prada donna,337
prototype,338
q pot,339
remix,340
reyns,341
rip curl,342
ritz camera,343
robins shoes,344
salvatore ferragamo,345
san lorenzo bikinis,346
sand people,347
sanrio,348
sephora,349
seras surfshore,350
shirokiya,351
silver rhino,352
skechers,353
solar nail spa,354
spiral girl,355
splash hawaii,356
splash sport,357
split obsession,358
st john,359
sunglass icon,360
swarovski,361
swatch,362
tapestries by hauoli,363
territorial savings,364
body shop,365
childrens place,366
the islands best,367
lego,368
the slipper house,369
the walking company,370
thinker tots,371
thinker toys,372
thoms barber shop,373
tiffany,374
tommy bahama,375
tori richard,376
tory burch,377
towncountry surf shop,378
trade secret,379
travelex,380
true friends,381
true religion,382
tumi,383
us postal services,384
valerie joseph,385
vans,386
vera bradley,387
victoria secret,388
vim n vigor healthfitn s,389
w salon,390
watumulls,391
wolford boutique,392
belk,393
bistro carousel cinemas,394
brixx,395
buffalo wild wings,396
burger king,397
carousel cinemas at alamance crossing,398
cold stone creamery,399
dental works,400
dillards,401
divas nails,402
elite spa,403
hallmark,404
hobby lobby,405
icing by claires,406
justice,407
le creuset,408
lifeway christian,409
menswearhouse,410
mimis cafe,411
musicarts,412
new yorkcompany,413
olive garde,414
portrait innovations,415
qdoba mexican grill,416
red bowlasian bistro,417
red robin,418
rue 21,419
tec optometry,420
texas roadhouse,421
sleep number,422
wachovia bank,423
yankee candle,424
alameda art association,425
alameda beauty,426
alameda centre physicians,427
alameda pediatric dentistry,428
alameda towne centre public safety,429
alameda towne cleaners and alterations,430
annas linens,431
antidote salon,432
applebee,433
avenue,434
bank of alameda,435
beverlys fabriccraft,436
big 5 sporting goods,437
blockbuster,438
bon voyage luggage,439
borders,440
center hours,441
executive martinizing,442
24 hour fitness,443
fruitschocolate,444
gold spot jewelry,445
handle with care packaging store,446
happy nails,447
chase bank,448
check into cash,449
china gourmet,450
chipotle,451
instant shoe care,452
kohls,453
launderland,454
loard’s ice cream,455
massage envy,456
merle norman,457
modern mouse,458
paganos hardware store,459
pearls deluxe burgers,460
petco,461
ross dress for less,462
safeway,463
sees candies,464
soccer post,465
sophistry custom skin care,466
south shore cafe,467
south shore car wash,468
south shore florist,469
south shore liquors,470
sushi house,471
tj maxx,472
trader joes,473
walgreens,474
zeytini restaurantbar,475
20 nine rest wine bar,476
alta moda,477
amys ice cream,478
ben adams jewelsgifts,479
calico corners,480
canyon cafe,481
club humidor,482
corner bakerycafe,483
crazy 8,484
everything but water,485
ezs brick ovengrill,486
fast forward,487
fire bowl cafe,488
flemings,489
freddys steakburgers,490
charming charlie,491
j alexanders,492
james avery,493
joes crab shack,494
learning express,495
lucchese boot,496
matress firm,497
michaels,498
my fit foods,499
orange cup yogurt,500
oreck,501
p f changs,502
papoulis greek grill,503
quarry nails,504
rack room,505
regal cinemas,506
relax the back,507
restoration hardware,508
tanfastic,509
tgf precision haircutters,510
the woodhouse day spa,511
todays eyes,512
ulta,513
university coop,514
whole earth provision,515
whole foods,516
wolf camera,517
yogurt zone,518
5th avenue fashions,519
a spot,520
abrahams leather,521
albany nails,522
albany newstand,523
ashley stewart,524
auntie anne,525
babbages,526
beautiful brows,527
blue moon yogurt,528
books a million,529
carmens,530
cinnabon,531
city gear,532
eses shoes,533
f y e,534
footaction,535
gold n diamonds,536
great american cookie,537
hr block,538
hibbettt,539
china cafe usa,540
chuck e cheese,541
jewelry land,542
jo ann fabricscraft,543
kirklands,544
man alive,545
mw tux,546
nail 1st,547
natural hair wonders,548
olan mills,549
on the spot jewelry,550
oxford st mans,551
petspals,552
prepaid zone,553
prestige jewelry,554
reeds jewelry,555
sbarro,556
shinaults,557
shirin jewelry,558
shoe box,559
silver city,560
spencer,561
sugar shack,562
sunset grill,563
tas closet,564
treasures,565
university giftsapparel,566
walk n talk t moblsprint,567
wet seal,568
wing dixiedeli,569
wireless communications,570
zales,571
body jewel,572
alley kat,573
amc,574
aveda,575
bc surfsport,576
beauty works,577
billabong,578
blue c sushi,579
brookstone,580
brow art,581
buckle,582
build a bear,583
cajun grill,584
cash for gold,585
cell phone access,586
claim jumper,587
claires accessories,588
clark’s of england,589
clear,590
coldstone creamery,591
comcast,592
currito burrito,593
daiso,594
diamond wireless,595
empire today,596
etiquette,597
fast fix jewelry repairs,598
forlove 21,599
fred meyer,600
fuego,601
fye,602
gene juarez salon,603
ghost armor,604
godiva,605
gw portraits,606
helly hansen,607
helzberg diamond,608
hot dog on a stick,609
house of cutlery,610
charley,611
iso beauty,612
jg fashions,613
japan cafe,614
just sports,615
kits camera,616
lava java,617
learning quest toys,618
limited,619
love culture,620
luxury nail,621
made in washington,622
mariners team store,623
marks gold crown hallmark,624
metropark,625
miamax,626
micabella,627
motherhood maternity,628
mrs fields,629
my cute pillow pets,630
naartjie,631
new balance,632
cafe bistro,633
oakley “o” store,634
panda,635
papyrus,636
parfumerie,637
pearle vision center,638
picture people,639
pokemon,640
precision time,641
pro-active,642
pumpkin patch,643
quiznos,644
red mango,645
rei,646
romy,647
rosetta stone,648
sheepskin,649
shiekh,650
silverworks,651
soho,652
spa therapy,653
stride rite,654
sweet factory,655
taco time,656
teavana,657
things remembered,658
urban outfitters,659
victoria secret beauty,660
vitamin world,661
zumiez,662
3 jewelry,663
airbrush la,664
baby world,665
bag it,666
bryans bagsmore,667
bulls gym,668
burlington coat factory,669
california nail,670
cash 4 gold,671
cellular one,672
corn dog 7,673
cubby caboose,674
dead sea products,675
decibel,676
deja view,677
el rodeo,678
body art,679
eyemaster,680
famous wok,681
fashion boutique,682
fashion in style,683
fashion world,684
gold hut,685
gold time,686
gordons jewelry,687
its fashion,688
jewelry palace,689
karats,690
kostallas,691
lagniappe theater,692
leather shop,693
ny burgerssteaks,694
pacsun,695
perfume gifts,696
perfume plaza,697
rite aid,698
shaans,699
slinkees,700
source clothing,701
sports n more,702
stage,703
suddenlink,704
the avenue,705
watch hut,706
weissgold ring,707
wireless phones,708
xpression,709
archivers,710
biaggis,711
bonefish grill,712
carters,713
cbs outdoors,714
cool cuts 4 kids,715
dicks sporting goods,716
discovery,717
dsw,718
gordmans,719
hot mama,720
houlihans,721
cheeseburgerparadise,722
chicago home fitness,723
kids bunksbeds,724
on the border,725
petsmart,726
shoelace inc,727
st rogers abbey,728
sylvan learning,729
the gourmet kernel,730
thirsty whale,731
venetian nail,732
vino 100,733
almaden musicdance,734
almaden plaza dental care,735
ana furniture,736
apple one employment,737
baskin robbins,738
buybuy baby,739
costco,740
creative hairdressers,741
diddams party store,742
five guy,743
fresh choice,744
happi house,745
house of bagels,746
chase,747
chevys mexican,748
inspa,749
kb fitness,750
majestic beauty supply,751
metlife home loan,752
national first credit,753
omaha steaks,754
orange leaf,755
real produce,756
red lobster,757
style for less,758
tj maxxn more,759
tandoori bistro,760
tillys,761
tuesday morning,762
us recruiting air force,763
us recruiting army,764
us recruiting marines,765
us recruiting navy,766
viva nail salon,767
wingstop,768
work world,769
3 d games,770
air grafix,771
all shoes 9 99,772
belts of the world,773
bigg city,774
cellular zone,775
cosmetic cove,776
creative consumer rsrch,777
cricket,778
err,779
exclusive furniture,780
geovanni clothing,781
gizzmos,782
glitters,783
golddiamond,784
image,785
kaleidoscoop,786
kfc,787
lady world,788
lollipops,789
magic shots,790
mero,791
oro italiano,792
oro perfumania,793
palais royal,794
pcx,795
piccadilly cafeteria,796
rainbow,797
rainbow pluskids,798
sams burgersgyro,799
sesame hut,800
shoe envy,801
star shots,802
thirstys,803
toyz,804
underground station,805
uniforms n more,806
vibrations,807
villa pizza,808
visible changes,809
a t hula,810
aloha candles,811
aloha sushi,812
aloha tower jewelry,813
aloha tower sundries,814
anns fashion,815
at hula,816
bikini cantina,817
casa mia pizzeria,818
ceci,819
coverdat accessories,820
crazy fish,821
daniella,822
don hos island grill,823
elite massage academy,824
elite pacific properties,825
gordon biersch,826
hawaii athletic club,827
hawaiian collection,828
hawaiian ukulele,829
hibiscus collection,830
nail bar,831
chais island bistro,832
imperial gallery,833
island art galleries,834
island casual,835
island fashions,836
island oasis,837
island vintage coffee,838
kabuto,839
les montres,840
lotus healthliving,841
mag neat o,842
maiden hawaii,843
makino chaya,844
melrose,845
millennium,846
nicky shoe company,847
olivias euro collection,848
pacific cabana,849
precious boutique,850
rainbow hawaiian souvenir,851
red bamboo,852
sayumis princess garden,853
star apparel,854
star of honolulu office,855
sweet memory chocolates,856
the aloha lounge,857
the waterfront,858
try my dogs,859
gold buyer,860
baby gap,861
bahama breeze,862
bakers,863
barnies coffee,864
beya,865
club bff,866
cops center,867
dollar mania,868
dq,869
elegant accents,870
express men,871
extreme styles,872
fast fix jewelry repair,873
g by guess,874
hm,875
hovan gourmet,876
chao cajun,877
charlotte russe,878
in touch wireless,879
ink spot,880
ispice,881
jerie anns hallmark,882
magnific fine jewelry,883
maki of japan,884
mandarin express,885
max rave,886
mayors jewelry,887
mcdonald,888
nail spa,889
oceanology,890
oriental health massage,891
orlando ale house,892
paris nails,893
perfumania,894
pinocchios puppet thtre,895
