mallid,mall,state,county,geoid
1,2ND Street District,Bexar County,texas,48029
2,321 North,Broward County,florida,12011
3,4S Commons Town Center,San Diego County,california,6073
4,ABQ Uptown,Bernalillo County,new mexico,35001
5,Adirondack Outlet Mall,Washington County,new york,36115
6,Adrian Mall,Lenawee County,michigan,26091
7,Akers Mill Square,Fulton County,georgia,13121
9,Alamance Crossing,Alamance County,north carolina,37001
10,Alameda Towne Centre,Contra Costa County,california,6013
11,Alamo Quarry Market,Bexar County,texas,48029
12,Albany Mall,Montgomery County,alabama,1101
13,Alderwood,Kitsap County,washington,53035
14,Alexandria Mall,Rapides Parish,louisiana,22079
15,Algonquin Commons,McHenry County,illinois,17111
16,Almaden Plaza Shopping Center,Santa Clara County,california,6085
17,Almeda Mall,Harris County,texas,48201
19,Altamonte Mall,Orange County,florida,12095
20,Alton Square Mall,Jersey County,illinois,17083
21,Americana Manhasset,Nassau County,new york,36059
22,Amerige Heights Town Center,Orange County,california,6059
23,Anaheim Town Square,Orange County,california,6059
24,Anderson Mall,Anderson County,south carolina,45007
26,Animas Valley Mall,San Juan County,new mexico,35045
27,Annapolis Harbour Center,Anne Arundel County,maryland,24003
28,Annapolis Towne Centre at Parole,Anne Arundel County,maryland,24003
29,Antelope Valley Mall,Los Angeles County,california,6037
30,Apache Mall,Olmsted County,minnesota,27109
31,Apple Blossom Mall,Winchester city,virginia,51840
32,Arbor Place,Douglas County,georgia,13097
33,Arboretum at Great Hills,Travis County,texas,48453
34,Arden Fair,Sacramento County,california,6067
35,Arizona Center,Maricopa County,arizona,4013
36,Arizona Mills,Maricopa County,arizona,4013
37,Arlington Highlands,Tarrant County,texas,48439
38,Arnot Mall,Chemung County,new york,36015
39,Arrowhead Mall,Muskogee County,oklahoma,40101
40,Arrowhead Towne Center,Maricopa County,arizona,4013
41,Arsenal Mall,Suffolk County,massachusetts,25025
42,Arundel Mills,Baltimore city,maryland,24510
43,Asbury Park,Monmouth County,new jersey,34025
44,Asheville Mall,Buncombe County,north carolina,37021
45,Ashland Town Center,Los Angeles County,california,6037
46,Ashland Town Center,Boyd County,kentucky,21019
47,Ashtabula Towne Square,Ashtabula County,ohio,39007
48,Aspen Grove,Jefferson County,colorado,8059
49,Atlantic Station Town Center,Fulton County,georgia,13121
50,Atrium Mall,Suffolk County,massachusetts,25025
51,Auburn Mall,Worcester County,massachusetts,25027
52,Auburn Mall,Androscoggin County,maine,23001
53,Augusta Exchange,Richmond County,georgia,13245
54,Augusta Mall,Richmond County,georgia,13245
55,Aurora City Place,Washington County,maine,23029
56,Aventura Mall,Broward County,florida,12011
57,Aviation Mall,Washington County,new york,36115
58,Bal Harbour Shops,Miami-Dade County,florida,12086
59,Baldwin Hills Crenshaw Plaza,Los Angeles County,california,6037
60,Ballston Common Mall,Dinwiddie County,virginia,51053
61,Bangor Mall,Hancock County,maine,23009
62,Barefoot Landing,Chemung County,new york,36015
63,Barracks Road Shopping Center,Moody County,south dakota,46101
64,Barrett Pavilion,Cobb County,georgia,13067
65,Barton Creek Square,Travis County,texas,48453
66,Bartow Marketplace,Mercer County,new jersey,34021
67,Bassett Place,El Paso County,texas,48141
68,Battlefield Mall,Greene County,missouri,29077
69,Bay City Mall,Bay County,michigan,26017
70,Bay Park Square,Brown County,wisconsin,55009
71,Bay Plaza Shopping Center,Sussex County,virginia,51183
72,Bay Street,Contra Costa County,california,6013
73,Baybrook Mall,Galveston County,texas,48167
74,Bayfair Center,Alameda County,california,6001
75,Bayshore Mall,Humboldt County,california,6023
76,Bayshore Town Center,Waukesha County,wisconsin,55133
77,Bayside Marketplace,Miami-Dade County,florida,12086
78,Beachwood Place,Geauga County,ohio,39055
79,Beaver Valley Mall,Beaver County,pennsylvania,42007
80,Bel Air Mall,Mobile County,alabama,1097
