	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent	0
0	1714773.0	662872.0	3211119983.0	42127509.0	1239.82	16.266	1.9	34.2	31.5	32.8	10.3	0.8	2.4	7.5	68.4	51.0	49.0	31.6	91.9	12.7	72.9	9.6	1
1	1748066.0	810388.0	3133329108.0	292869341.0	1209.785	113.077	3.3	40.7	38.5	39.7	14.3	0.3	3.2	26.7	63.3	51.6	48.4	36.7	84.7	3.7	63.1	10.7	0
2	3095313.0	1164786.0	10895120648.0	826347909.0	4206.63	319.055	1.9	36.1	33.2	34.6	11.4	0.9	10.9	5.1	66.3	49.8	50.2	33.7	93.3	13.6	64.0	5.5	0
3	662564.0	284234.0	3006530549.0	16471335.0	1160.828	6.36	1.9	37.2	34.6	35.8	12.2	4.8	2.3	3.0	61.7	51.0	49.0	38.3	93.6	16.0	69.4	7.0	0
4	63216.0	28844.0	2152756071.0	38083243.0	831.184	14.704	2.2	43.4	40.2	41.7	15.4	0.2	0.4	3.0	67.4	48.2	51.8	32.6	83.7	0.7	94.6	7.3	0
5	99892.0	43452.0	1941337767.0	30701176.0	749.555	11.854	2.7	41.7	38.6	40.0	14.6	0.5	0.5	2.5	70.0	49.5	50.5	30.0	86.3	2.0	92.3	11.9	0
6	920581.0	437105.0	1363977166.0	19917366.0	526.635	7.69	5.2	35.0	33.3	34.2	9.1	0.2	5.6	44.1	55.6	51.3	48.7	44.4	86.1	3.4	44.5	13.7	0
7	151131.0	66576.0	1098007863.0	27957457.0	423.943	10.794	2.9	39.7	37.5	38.7	14.6	0.7	1.2	18.8	66.5	52.4	47.6	33.5	90.1	6.1	71.1	11.2	0
8	1049025.0	400263.0	1854268836.0	227485306.0	715.937	87.833	2.1	39.7	37.1	38.5	12.4	0.6	14.4	9.3	70.7	51.2	48.8	29.3	93.8	10.7	58.6	6.8	0
9	1714773.0	662872.0	3211119983.0	42127509.0	1239.82	16.266	1.9	34.2	31.5	32.8	10.3	0.8	2.4	7.5	68.4	51.0	49.0	31.6	91.9	12.7	72.9	9.6	0
10	229363.0	101641.0	2031190777.0	40571253.0	784.247	15.665	2.8	36.5	33.1	34.9	12.0	0.3	2.1	54.7	64.3	52.4	47.6	35.7	88.5	2.1	39.5	13.1	0
11	251133.0	107367.0	1022893152.0	442829766.0	394.941	170.97799999999995	2.2	41.2	37.3	39.4	13.3	1.6	4.9	2.6	67.7	49.4	50.6	32.3	90.5	1.6	82.6	8.6	0
12	131613.0	55684.0	3413506392.0	113169602.0	1317.9620000000002	43.695	1.6	38.5	35.3	36.9	13.7	0.8	1.2	32.0	68.3	51.8	48.2	31.7	90.5	1.0	63.3	8.5	0
13	308760.0	116040.0	1562206475.0	19791771.0	603.1709999999998	7.642	2.0	38.8	37.0	38.0	10.1	0.3	2.5	1.1	75.4	50.1	49.9	24.6	94.1	4.3	90.1	8.6	0
14	1781642.0	631920.0	3341343470.0	36174996.0	1290.1	13.967	1.4	37.1	35.3	36.2	11.1	0.7	32.0	2.6	70.6	49.8	50.2	29.4	95.6	12.4	47.0	4.3	0
15	4092459.0	1598698.0	4411986582.0	191671993.0	1703.4779999999996	74.005	2.3	33.0	31.4	32.2	8.1	0.7	6.2	18.9	68.7	50.2	49.8	31.3	89.8	14.3	56.6	13.7	0
16	1145956.0	487839.0	2339870128.0	258560561.0	903.429	99.831	4.2	34.7	32.7	33.7	9.7	0.4	4.9	20.8	64.8	50.8	49.2	35.2	86.5	6.7	63.6	13.0	0
17	22985.0	9848.0	956408129.0	20348919.0	369.271	7.857	1.7	41.4	39.5	40.5	15.7	0.3	0.3	0.4	70.5	51.0	49.0	29.5	89.6	0.2	97.6	7.7	0
18	1339532.0	468346.0	737411094.0	436460605.0	284.716	168.518	1.2	42.7	39.5	41.1	15.3	0.2	7.6	11.1	75.9	51.6	48.4	24.1	95.8	5.6	73.0	4.8	0
19	3010232.0	1048907.0	2047561084.0	407916814.0	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9	0
20	3010232.0	1048907.0	2047561084.0	407916814.0	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9	0
21	187126.0	84774.0	1852945207.0	108805903.0	715.426	42.01	3.1	40.7	38.7	39.7	15.1	0.3	0.8	16.0	70.3	51.8	48.2	29.7	87.1	1.3	80.1	12.2	0
22	130044.0	49341.0	14278776370.0	65673845.0	5513.066999999999	25.357	1.3	34.0	32.1	33.0	10.8	36.6	0.4	0.6	73.1	50.4	49.6	26.9	90.0	7.3	51.6	8.6	0
23	537656.0	212562.0	1074590684.0	447805092.0	414.902	172.899	1.8	39.7	36.9	38.4	11.8	0.3	3.4	15.5	69.8	50.6	49.4	30.2	93.8	2.4	75.4	6.5	0
24	537656.0	212562.0	1074590684.0	447805092.0	414.902	172.899	1.8	39.7	36.9	38.4	11.8	0.3	3.4	15.5	69.8	50.6	49.4	30.2	93.8	2.4	75.4	6.5	0
25	9818605.0	3445076.0	10509869649.0	1795012906.0	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8	0
26	144248.0	60495.0	1692165422.0	3755969.0	653.349	1.45	2.0	37.3	35.3	36.3	12.6	0.2	5.4	4.8	66.0	51.1	48.9	34.0	94.4	1.6	85.7	7.9	0
27	26203.0	11872.0	23912611.0	54101.0	9.233	0.021	2.9	36.9	33.6	35.1	14.0	0.4	2.3	10.9	56.2	50.8	49.2	43.8	89.3	8.8	74.5	11.2	0
28	132403.0	51672.0	518170971.0	2484238.0	200.067	0.959	4.3	36.0	33.8	35.0	8.5	0.3	1.4	39.5	73.8	51.8	48.2	26.2	90.2	3.8	52.5	10.7	0
29	1024266.0	441240.0	2564612388.0	84967219.0	990.202	32.806	2.5	32.3	31.5	31.9	7.3	0.8	5.8	8.5	56.8	49.6	50.4	43.2	91.7	12.2	69.3	8.7	0
30	1418788.0	555932.0	2498415670.0	76077248.0	964.644	29.374	2.5	36.1	33.5	34.8	11.2	1.0	14.3	10.4	66.0	51.0	49.0	34.0	92.4	9.3	57.5	8.3	0
31	3817117.0	1639279.0	23828260196.0	62795719.0	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0
32	3817117.0	1639279.0	23828260196.0	62795719.0	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0
33	1809034.0	714803.0	2236735560.0	100223390.0	863.6080000000002	38.696	2.0	34.3	32.4	33.4	8.9	0.7	4.7	14.9	69.2	51.0	49.0	30.8	91.9	10.0	66.6	11.7	0
34	88830.0	38369.0	1055035677.0	8877179.0	407.352	3.427	1.5	42.4	39.4	40.9	15.7	0.3	1.2	6.6	63.6	50.3	49.7	36.4	92.4	0.6	88.7	7.4	0
35	70990.0	30908.0	2099056912.0	75962995.0	810.45	29.329	2.2	39.0	36.1	37.6	14.7	17.5	0.6	11.3	67.6	51.1	48.9	32.4	87.5	2.6	59.8	9.3	0
36	3817117.0	1639279.0	23828260196.0	62795719.0	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0
37	722023.0	315522.0	150618894.0	160748611.0	58.154	62.065	2.1	32.1	30.9	31.5	10.5	0.4	8.2	21.6	48.0	51.8	48.2	52.0	92.8	9.7	56.0	5.3	0
38	620961.0	296685.0	209643241.0	28768302.0	80.944	11.108	4.2	35.7	33.1	34.4	11.7	0.4	2.3	63.7	53.6	52.9	47.1	46.4	84.2	1.8	29.6	10.7	0
39	238318.0	113365.0	1700772614.0	8984885.0	656.672	3.469	3.0	42.3	39.1	40.6	16.0	0.4	1.0	6.4	60.8	51.8	48.2	39.2	88.6	2.6	87.4	8.9	0
40	101497.0	46099.0	1817993244.0	1724857052.0	701.931	665.971	2.9	42.2	39.9	41.0	15.6	0.2	0.4	3.5	67.3	50.1	49.9	32.7	85.4	1.1	92.7	10.1	0
41	534543.0	229967.0	1979289991.0	25446228.0	764.2080000000002	9.825	1.5	41.8	39.0	40.4	12.6	0.9	2.6	1.1	65.4	50.4	49.6	34.6	94.9	4.2	88.4	6.4	0
42	920581.0	437105.0	1363977166.0	19917366.0	526.635	7.69	5.2	35.0	33.3	34.2	9.1	0.2	5.6	44.1	55.6	51.3	48.7	44.4	86.1	3.4	44.5	13.7	0
43	722023.0	315522.0	150618894.0	160748611.0	58.154	62.065	2.1	32.1	30.9	31.5	10.5	0.4	8.2	21.6	48.0	51.8	48.2	52.0	92.8	9.7	56.0	5.3	0
44	200549.0	86331.0	840000029.0	11046882.0	324.326	4.265	3.3	35.2	31.4	33.2	11.3	0.3	1.7	54.2	63.2	51.6	48.4	36.8	89.1	1.3	39.7	9.1	0
45	200549.0	86331.0	840000029.0	11046882.0	324.326	4.265	3.3	35.2	31.4	33.2	11.3	0.3	1.7	54.2	63.2	51.6	48.4	36.8	89.1	1.3	39.7	9.1	0
46	32856.0	23001.0	6637257545.0	1800019787.0	2562.66	694.992	4.3	47.0	45.2	46.1	19.6	4.9	0.5	0.4	61.9	50.7	49.3	38.1	62.2	0.4	92.1	9.3	0
47	1748066.0	810388.0	3133329108.0	292869341.0	1209.785	113.077	3.3	40.7	38.5	39.7	14.3	0.3	3.2	26.7	63.3	51.6	48.4	36.7	84.7	3.7	63.1	10.7	0
48	63216.0	28844.0	2152756071.0	38083243.0	831.184	14.704	2.2	43.4	40.2	41.7	15.4	0.2	0.4	3.0	67.4	48.2	51.8	32.6	83.7	0.7	94.6	7.3	0
49	9818605.0	3445076.0	10509869649.0	1795012906.0	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8	0
50	28001.0	11422.0	1304619086.0	9001586.0	503.716	3.4760000000000004	1.4	41.6	39.7	40.7	13.7	0.3	0.4	32.9	72.1	50.9	49.1	27.9	92.0	1.0	63.9	8.3	0
51	54418.0	40184.0	4110034060.0	1963321064.0	1586.8929999999998	758.043	3.6	47.4	45.2	46.3	18.3	0.4	0.8	0.4	61.2	51.0	49.0	38.8	60.3	0.3	96.9	11.8	0
52	88830.0	38369.0	1055035677.0	8877179.0	407.352	3.427	1.5	42.4	39.4	40.9	15.7	0.3	1.2	6.6	63.6	50.3	49.7	36.4	92.4	0.6	88.7	7.4	0
53	6486.0	2824.0	1345204308.0	3679400.0	519.386	1.421	1.8	41.4	39.5	40.5	15.2	14.0	1.1	0.5	68.6	49.9	50.1	31.4	90.4	0.7	81.0	11.3	0
54	688078.0	286490.0	879428364.0	12868473.0	339.5490000000001	4.9689999999999985	3.4	36.4	34.2	35.4	8.7	0.3	4.5	25.0	67.4	51.4	48.6	32.6	90.8	5.3	62.2	12.5	0
55	1024266.0	441240.0	2564612388.0	84967219.0	990.202	32.806	2.5	32.3	31.5	31.9	7.3	0.8	5.8	8.5	56.8	49.6	50.4	43.2	91.7	12.2	69.3	8.7	0
56	366513.0	143169.0	581601212.0	11217700.0	224.557	4.331	1.6	39.2	36.2	37.8	12.6	0.3	8.9	20.3	67.2	51.2	48.8	32.8	93.0	6.2	61.4	8.5	0
57	800647.0	270307.0	2622862905.0	5871209.0	1012.693	2.267	1.6	33.2	29.4	31.3	10.3	0.8	1.0	3.1	76.6	51.6	48.4	23.4	94.9	10.5	82.1	4.4	0
58	275174.0	125387.0	1749030414.0	6670734.0	675.304	2.576	2.5	37.4	34.2	35.8	14.0	0.7	1.6	2.9	60.5	51.3	48.7	39.5	91.1	0.9	91.2	11.3	0
59	107771.0	48220.0	1145557748.0	487991946.0	442.302	188.415	2.1	43.3	40.1	41.7	16.2	0.5	0.5	1.6	65.3	51.1	48.9	34.7	92.5	1.0	94.1	8.9	0
60	248007.0	104371.0	1371938244.0	222741055.0	529.7080000000002	86.001	1.8	37.2	35.2	36.2	11.6	2.7	2.7	2.2	64.8	50.5	49.5	35.2	94.3	3.7	86.5	7.2	0
61	12087.0	4696.0	1269664203.0	6755314.0	490.22	2.608	1.9	45.7	37.4	40.6	14.5	0.2	0.4	58.1	65.9	41.4	58.6	34.1	85.1	1.3	39.3	10.6	0
62	1049025.0	400263.0	1854268836.0	227485306.0	715.937	87.833	2.1	39.7	37.1	38.5	12.4	0.6	14.4	9.3	70.7	51.2	48.8	29.3	93.8	10.7	58.6	6.8	0
63	291309.0	132492.0	979943275.0	1283210753.0	378.358	495.45	3.1	38.1	36.3	37.2	11.3	0.6	3.0	13.8	69.5	50.5	49.5	30.5	82.2	7.4	72.5	16.3	0
64	1510271.0	582549.0	1914046110.0	213184643.0	739.0169999999998	82.311	1.8	37.5	35.6	36.6	11.1	0.6	26.1	12.6	64.6	51.0	49.0	35.4	93.6	10.8	43.0	6.4	0
65	134623.0	61559.0	9241044673.0	1254256396.0	3567.987	484.271	1.5	38.6	35.9	37.1	13.2	5.7	2.2	1.1	55.5	49.8	50.2	44.5	91.0	3.7	81.7	3.6	0
66	389891.0	160864.0	1423388982.0	80346783.0	549.5740000000002	31.022	1.4	43.0	40.8	42.0	14.3	0.3	2.7	1.3	71.3	50.9	49.1	28.7	94.9	1.0	93.3	6.9	0
67	2496435.0	989435.0	4915061046.0	1381673402.0	1897.716	533.467	3.2	39.4	36.9	38.2	14.1	0.2	1.5	18.9	69.5	51.6	48.4	30.5	87.7	3.2	73.8	8.9	0
68	93389.0	36574.0	1036420180.0	21054534.0	400.164	8.129	2.1	44.1	42.2	43.3	15.5	0.1	0.6	1.3	74.9	50.8	49.2	25.1	93.7	0.3	96.9	8.2	0
69	170539.0	78211.0	1125900054.0	24167050.0	434.712	9.331	2.4	45.9	42.6	44.4	18.6	0.1	0.4	6.3	66.1	51.8	48.2	33.9	91.3	0.2	91.2	8.8	0
70	412992.0	178196.0	3184223082.0	1073750500.0	1229.435	414.577	2.7	38.0	35.2	36.6	12.9	0.9	1.8	34.6	68.4	52.0	48.0	31.6	88.9	0.9	60.2	11.3	0
71	3010232.0	1048907.0	2047561084.0	407916814.0	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9	0
72	350209.0	169984.0	2372659352.0	1144534759.0	916.089	441.907	3.2	37.4	34.5	35.9	12.8	0.3	1.3	29.8	59.4	51.5	48.5	40.6	84.9	2.7	64.2	15.2	0
73	1931249.0	851261.0	5479291809.0	495471264.0	2115.5660000000007	191.303	2.6	37.9	36.3	37.1	10.9	0.8	14.6	6.2	58.5	50.2	49.8	41.5	92.7	3.9	68.7	7.4	0
74	670850.0	270359.0	1025908386.0	124944841.0	396.105	48.24100000000001	1.1	41.8	39.5	40.7	14.5	0.2	8.6	5.7	65.5	52.1	47.9	34.5	95.4	1.3	82.3	5.9	0
75	201140.0	90665.0	5456733620.0	1027224451.0	2106.857	396.614	2.2	37.8	35.4	36.6	13.2	2.8	3.5	1.0	60.8	50.5	49.5	39.2	88.6	3.3	85.4	5.1	0
76	600158.0	285797.0	396268588.0	4225359.0	153.0	1.631	3.6	33.9	33.5	33.7	10.4	1.4	3.4	10.2	47.5	50.0	50.0	52.5	92.1	11.9	68.9	7.2	0
77	601723.0	296719.0	158114680.0	18884970.0	61.048	7.292000000000002	3.4	34.0	33.6	33.8	11.4	0.3	3.5	50.7	42.3	52.8	47.2	57.7	89.9	4.1	38.5	7.9	0
78	9818605.0	3445076.0	10509869649.0	1795012906.0	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8	0
79	3817117.0	1639279.0	23828260196.0	62795719.0	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0
80	238318.0	113365.0	1700772614.0	8984885.0	656.672	3.469	3.0	42.3	39.1	40.6	16.0	0.4	1.0	6.4	60.8	51.8	48.2	39.2	88.6	2.6	87.4	8.9	0
81	238318.0	113365.0	1700772614.0	8984885.0	656.672	3.469	3.0	42.3	39.1	40.6	16.0	0.4	1.0	6.4	60.8	51.8	48.2	39.2	88.6	2.6	87.4	8.9	0
82	163040.0	71822.0	1867822812.0	298719230.0	721.17	115.336	2.4	42.2	40.4	41.3	14.5	0.4	0.5	2.4	69.3	50.5	49.5	30.7	88.9	0.7	93.9	11.6	0
83	919628.0	398510.0	1356745512.0	57153194.0	523.842	22.067	3.3	34.9	32.8	33.9	8.8	0.5	4.6	30.8	62.3	51.6	48.4	37.7	90.9	6.2	55.3	11.3	0
84	1049025.0	400263.0	1854268836.0	227485306.0	715.937	87.833	2.1	39.7	37.1	38.5	12.4	0.6	14.4	9.3	70.7	51.2	48.8	29.3	93.8	10.7	58.6	6.8	0
85	916924.0	356179.0	848218379.0	23083362.0	327.499	8.913	2.0	39.5	36.6	38.2	11.6	0.3	10.1	4.6	70.6	51.0	49.0	29.4	94.7	4.9	77.9	7.9	0
86	894014.0	374249.0	1903891914.0	40213499.0	735.097	15.527	1.4	41.4	38.2	39.9	14.6	0.3	4.2	13.3	64.9	51.7	48.3	35.1	93.7	7.1	72.4	8.0	0
87	1418788.0	555932.0	2498415670.0	76077248.0	964.644	29.374	2.5	36.1	33.5	34.8	11.2	1.0	14.3	10.4	66.0	51.0	49.0	34.0	92.4	9.3	57.5	8.3	0
88	392365.0	159471.0	2726158067.0	20424656.0	1052.576	7.886	3.1	35.6	34.1	34.8	10.5	0.7	2.4	1.1	66.9	49.9	50.1	33.1	93.1	2.4	90.3	7.9	0
89	32856.0	23001.0	6637257545.0	1800019787.0	2562.66	694.992	4.3	47.0	45.2	46.1	19.6	4.9	0.5	0.4	61.9	50.7	49.3	38.1	62.2	0.4	92.1	9.3	0
90	80261.0	34698.0	1822402881.0	29835947.0	703.6339999999999	11.52	1.6	38.7	35.0	37.0	14.1	0.2	0.7	42.8	66.3	51.8	48.2	33.7	89.6	0.6	54.8	6.8	0
91	3817117.0	1639279.0	23828260196.0	62795719.0	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0
92	919040.0	419974.0	2700563452.0	476973805.0	1042.693	184.161	1.2	42.1	38.5	40.4	15.7	0.6	2.6	13.5	60.0	51.8	48.2	40.0	91.2	1.5	80.0	8.5	0
93	537656.0	212562.0	1074590684.0	447805092.0	414.902	172.899	1.8	39.7	36.9	38.4	11.8	0.3	3.4	15.5	69.8	50.6	49.4	30.2	93.8	2.4	75.4	6.5	0
94	1320134.0	664594.0	5101663125.0	1070302119.0	1969.763	413.246	3.4	45.2	41.7	43.5	21.6	0.5	2.4	17.3	62.6	51.6	48.4	37.4	81.9	4.0	73.5	12.3	0
95	98963.0	41395.0	851489045.0	6959355.0	328.76199999999994	2.687	2.3	39.3	36.9	38.2	14.1	0.3	0.8	4.3	70.8	51.3	48.7	29.2	91.7	2.4	90.3	9.3	0
96	920581.0	437105.0	1363977166.0	19917366.0	526.635	7.69	5.2	35.0	33.3	34.2	9.1	0.2	5.6	44.1	55.6	51.3	48.7	44.4	86.1	3.4	44.5	13.7	0
97	81327.0	37276.0	6988196577.0	34515098.0	2698.158	13.326	1.6	40.6	37.2	38.9	15.6	4.3	0.8	1.2	63.3	50.1	49.9	36.7	90.7	0.6	89.2	6.1	0
98	51675.0	29255.0	1638002904.0	49736703.0	632.436	19.203	5.5	41.7	39.6	40.7	17.7	0.8	0.7	0.9	67.0	51.3	48.7	33.0	70.9	1.8	93.6	18.5	0
99	862477.0	362004.0	1565663096.0	667053119.0	604.506	257.551	1.8	40.6	37.8	39.3	14.4	0.3	3.5	12.7	64.5	51.9	48.1	35.5	92.4	6.0	74.8	8.3	0
100	3010232.0	1048907.0	2047561084.0	407916814.0	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9	0
101	3010232.0	1048907.0	2047561084.0	407916814.0	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9	0
102	344791.0	147573.0	1828442046.0	42615161.0	705.965	16.454	2.1	34.6	32.0	33.3	10.1	0.3	7.9	12.7	57.5	50.7	49.3	42.5	93.0	1.2	74.5	7.7	0
103	334811.0	146447.0	2076116529.0	28771340.0	801.5930000000002	11.109000000000002	2.4	38.6	35.8	37.3	12.2	0.8	2.5	24.0	66.2	50.9	49.1	33.8	92.0	2.0	68.2	10.1	0
104	735334.0	324832.0	1117054236.0	88853180.0	431.297	34.306	2.5	36.2	35.3	35.7	10.5	1.1	6.5	5.6	53.7	50.5	49.5	46.3	93.8	5.1	76.5	5.5	0
105	323444.0	123127.0	781692692.0	7883404.0	301.813	3.044	1.1	41.3	39.0	40.2	12.4	0.2	14.1	8.9	71.9	51.3	48.7	28.1	95.6	4.1	70.1	6.1	0
