	0	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent
0	1	1714773	662872	3211119983	42127509	1239.82	16.266	1.9	34.2	31.5	32.8	10.3	0.8	2.4	7.5	68.4	51.0	49.0	31.6	91.9	12.7	72.9	9.6
1	0	1748066	810388	3133329108	292869341	1209.785	113.077	3.3	40.7	38.5	39.7	14.3	0.3	3.2	26.7	63.3	51.6	48.4	36.7	84.7	3.7	63.1	10.7
2	0	3095313	1164786	10895120648	826347909	4206.63	319.055	1.9	36.1	33.2	34.6	11.4	0.9	10.9	5.1	66.3	49.8	50.2	33.7	93.3	13.6	64.0	5.5
3	0	662564	284234	3006530549	16471335	1160.828	6.36	1.9	37.2	34.6	35.8	12.2	4.8	2.3	3.0	61.7	51.0	49.0	38.3	93.6	16.0	69.4	7.0
4	0	63216	28844	2152756071	38083243	831.184	14.704	2.2	43.4	40.2	41.7	15.4	0.2	0.4	3.0	67.4	48.2	51.8	32.6	83.7	0.7	94.6	7.3
5	0	99892	43452	1941337767	30701176	749.555	11.854	2.7	41.7	38.6	40.0	14.6	0.5	0.5	2.5	70.0	49.5	50.5	30.0	86.3	2.0	92.3	11.9
6	0	920581	437105	1363977166	19917366	526.635	7.69	5.2	35.0	33.3	34.2	9.1	0.2	5.6	44.1	55.6	51.3	48.7	44.4	86.1	3.4	44.5	13.7
7	0	151131	66576	1098007863	27957457	423.943	10.794	2.9	39.7	37.5	38.7	14.6	0.7	1.2	18.8	66.5	52.4	47.6	33.5	90.1	6.1	71.1	11.2
8	0	1049025	400263	1854268836	227485306	715.937	87.833	2.1	39.7	37.1	38.5	12.4	0.6	14.4	9.3	70.7	51.2	48.8	29.3	93.8	10.7	58.6	6.8
9	0	1714773	662872	3211119983	42127509	1239.82	16.266	1.9	34.2	31.5	32.8	10.3	0.8	2.4	7.5	68.4	51.0	49.0	31.6	91.9	12.7	72.9	9.6
10	0	229363	101641	2031190777	40571253	784.247	15.665	2.8	36.5	33.1	34.9	12.0	0.3	2.1	54.7	64.3	52.4	47.6	35.7	88.5	2.1	39.5	13.1
11	0	251133	107367	1022893152	442829766	394.941	170.97799999999995	2.2	41.2	37.3	39.4	13.3	1.6	4.9	2.6	67.7	49.4	50.6	32.3	90.5	1.6	82.6	8.6
12	0	131613	55684	3413506392	113169602	1317.9620000000002	43.695	1.6	38.5	35.3	36.9	13.7	0.8	1.2	32.0	68.3	51.8	48.2	31.7	90.5	1.0	63.3	8.5
13	0	308760	116040	1562206475	19791771	603.1709999999998	7.642	2.0	38.8	37.0	38.0	10.1	0.3	2.5	1.1	75.4	50.1	49.9	24.6	94.1	4.3	90.1	8.6
14	0	1781642	631920	3341343470	36174996	1290.1	13.967	1.4	37.1	35.3	36.2	11.1	0.7	32.0	2.6	70.6	49.8	50.2	29.4	95.6	12.4	47.0	4.3
15	0	4092459	1598698	4411986582	191671993	1703.4779999999996	74.005	2.3	33.0	31.4	32.2	8.1	0.7	6.2	18.9	68.7	50.2	49.8	31.3	89.8	14.3	56.6	13.7
16	0	1145956	487839	2339870128	258560561	903.429	99.831	4.2	34.7	32.7	33.7	9.7	0.4	4.9	20.8	64.8	50.8	49.2	35.2	86.5	6.7	63.6	13.0
17	0	22985	9848	956408129	20348919	369.271	7.857	1.7	41.4	39.5	40.5	15.7	0.3	0.3	0.4	70.5	51.0	49.0	29.5	89.6	0.2	97.6	7.7
18	0	1339532	468346	737411094	436460605	284.716	168.518	1.2	42.7	39.5	41.1	15.3	0.2	7.6	11.1	75.9	51.6	48.4	24.1	95.8	5.6	73.0	4.8
19	0	3010232	1048907	2047561084	407916814	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9
20	0	3010232	1048907	2047561084	407916814	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9
21	0	187126	84774	1852945207	108805903	715.426	42.01	3.1	40.7	38.7	39.7	15.1	0.3	0.8	16.0	70.3	51.8	48.2	29.7	87.1	1.3	80.1	12.2
22	0	130044	49341	14278776370	65673845	5513.066999999999	25.357	1.3	34.0	32.1	33.0	10.8	36.6	0.4	0.6	73.1	50.4	49.6	26.9	90.0	7.3	51.6	8.6
23	0	537656	212562	1074590684	447805092	414.902	172.899	1.8	39.7	36.9	38.4	11.8	0.3	3.4	15.5	69.8	50.6	49.4	30.2	93.8	2.4	75.4	6.5
24	0	537656	212562	1074590684	447805092	414.902	172.899	1.8	39.7	36.9	38.4	11.8	0.3	3.4	15.5	69.8	50.6	49.4	30.2	93.8	2.4	75.4	6.5
25	0	9818605	3445076	10509869649	1795012906	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8
26	0	144248	60495	1692165422	3755969	653.349	1.45	2.0	37.3	35.3	36.3	12.6	0.2	5.4	4.8	66.0	51.1	48.9	34.0	94.4	1.6	85.7	7.9
27	0	26203	11872	23912611	54101	9.233	0.021	2.9	36.9	33.6	35.1	14.0	0.4	2.3	10.9	56.2	50.8	49.2	43.8	89.3	8.8	74.5	11.2
28	0	132403	51672	518170971	2484238	200.067	0.959	4.3	36.0	33.8	35.0	8.5	0.3	1.4	39.5	73.8	51.8	48.2	26.2	90.2	3.8	52.5	10.7
29	0	1024266	441240	2564612388	84967219	990.202	32.806	2.5	32.3	31.5	31.9	7.3	0.8	5.8	8.5	56.8	49.6	50.4	43.2	91.7	12.2	69.3	8.7
30	0	1418788	555932	2498415670	76077248	964.644	29.374	2.5	36.1	33.5	34.8	11.2	1.0	14.3	10.4	66.0	51.0	49.0	34.0	92.4	9.3	57.5	8.3
31	0	3817117	1639279	23828260196	62795719	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7
32	0	3817117	1639279	23828260196	62795719	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7
33	0	1809034	714803	2236735560	100223390	863.6080000000002	38.696	2.0	34.3	32.4	33.4	8.9	0.7	4.7	14.9	69.2	51.0	49.0	30.8	91.9	10.0	66.6	11.7
34	0	88830	38369	1055035677	8877179	407.352	3.427	1.5	42.4	39.4	40.9	15.7	0.3	1.2	6.6	63.6	50.3	49.7	36.4	92.4	0.6	88.7	7.4
35	0	70990	30908	2099056912	75962995	810.45	29.329	2.2	39.0	36.1	37.6	14.7	17.5	0.6	11.3	67.6	51.1	48.9	32.4	87.5	2.6	59.8	9.3
36	0	3817117	1639279	23828260196	62795719	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7
37	0	722023	315522	150618894	160748611	58.154	62.065	2.1	32.1	30.9	31.5	10.5	0.4	8.2	21.6	48.0	51.8	48.2	52.0	92.8	9.7	56.0	5.3
38	0	620961	296685	209643241	28768302	80.944	11.108	4.2	35.7	33.1	34.4	11.7	0.4	2.3	63.7	53.6	52.9	47.1	46.4	84.2	1.8	29.6	10.7
39	0	238318	113365	1700772614	8984885	656.672	3.469	3.0	42.3	39.1	40.6	16.0	0.4	1.0	6.4	60.8	51.8	48.2	39.2	88.6	2.6	87.4	8.9
40	0	101497	46099	1817993244	1724857052	701.931	665.971	2.9	42.2	39.9	41.0	15.6	0.2	0.4	3.5	67.3	50.1	49.9	32.7	85.4	1.1	92.7	10.1
41	0	534543	229967	1979289991	25446228	764.2080000000002	9.825	1.5	41.8	39.0	40.4	12.6	0.9	2.6	1.1	65.4	50.4	49.6	34.6	94.9	4.2	88.4	6.4
42	0	920581	437105	1363977166	19917366	526.635	7.69	5.2	35.0	33.3	34.2	9.1	0.2	5.6	44.1	55.6	51.3	48.7	44.4	86.1	3.4	44.5	13.7
43	0	722023	315522	150618894	160748611	58.154	62.065	2.1	32.1	30.9	31.5	10.5	0.4	8.2	21.6	48.0	51.8	48.2	52.0	92.8	9.7	56.0	5.3
44	0	200549	86331	840000029	11046882	324.326	4.265	3.3	35.2	31.4	33.2	11.3	0.3	1.7	54.2	63.2	51.6	48.4	36.8	89.1	1.3	39.7	9.1
45	0	200549	86331	840000029	11046882	324.326	4.265	3.3	35.2	31.4	33.2	11.3	0.3	1.7	54.2	63.2	51.6	48.4	36.8	89.1	1.3	39.7	9.1
