,Unnamed: 0,new_id,old_id,mall,county,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent, accessories,beauty products,books and digital media,candles,cellular accessories,children's apparel,children's clothing,children's footwear,chocolates,clothing,clothing & shoes,coffee,consumer electronics,cookies,denim,department store,diamonds,disney,eyewear,fasion wholesale,footwear,furniture,girl's clothing,guest services,hair care,headwear,home furnishings,ice cream,jewelry,makeup,maternity clothing,mattress,men's clothing,men's gifts,nutritional supplements,perfume,personalized gifts,photography,plus size clothing,restaurant,shoes,skincare,sporting goods,sports apparel,sports clothing,stuffed animals,telecommunication,video games,women's clothing,women's handbags,women's jewelry,women's shoes
0,0,0,1,2nd street district,Bexar County,texas,48029,29.448671,-98.520147,1714773,662872,3211119983,42127509,1239.82,16.266,1.9,34.2,31.5,32.8,10.3,0.8,2.4,7.5,68.4,51.0,49.0,31.6,91.9,12.7,72.9,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2,321 north,Broward County,florida,12011,26.19352,-80.476658,1748066,810388,3133329108,292869341,1209.785,113.077,3.3,40.7,38.5,39.7,14.3,0.3,3.2,26.7,63.3,51.6,48.4,36.7,84.7,3.7,63.1,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,3,4s commons town center,San Diego County,california,6073,33.023604,-116.776117,3095313,1164786,10895120648,826347909,4206.63,319.055,1.9,36.1,33.2,34.6,11.4,0.9,10.9,5.1,66.3,49.8,50.2,33.7,93.3,13.6,64.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,4,abq uptown,Bernalillo County,new mexico,35001,35.054002000000004,-106.669064,662564,284234,3006530549,16471335,1160.828,6.36,1.9,37.2,34.6,35.8,12.2,4.8,2.3,3.0,61.7,51.0,49.0,38.3,93.6,16.0,69.4,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0
4,4,4,5,adirondack outlet mall,Washington County,new york,36115,43.31237700000001,-73.439428,63216,28844,2152756071,38083243,831.184,14.704,2.2,43.4,40.2,41.7,15.4,0.2,0.4,3.0,67.4,48.2,51.8,32.6,83.7,0.7,94.6,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,6,adrian mall,Lenawee County,michigan,26091,41.895915,-84.06685300000002,99892,43452,1941337767,30701176,749.555,11.854,2.7,41.7,38.6,40.0,14.6,0.5,0.5,2.5,70.0,49.5,50.5,30.0,86.3,2.0,92.3,11.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,6,6,7,akers mill square,Fulton County,georgia,13121,33.79003400000001,-84.468182,920581,437105,1363977166,19917366,526.635,7.69,5.2,35.0,33.3,34.2,9.1,0.2,5.6,44.1,55.6,51.3,48.7,44.4,86.1,3.4,44.5,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,9,alamance crossing,Alamance County,north carolina,37001,36.041974,-79.399935,151131,66576,1098007863,27957457,423.943,10.794,2.9,39.7,37.5,38.7,14.6,0.7,1.2,18.8,66.5,52.4,47.6,33.5,90.1,6.1,71.1,11.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0
8,8,8,10,alameda towne centre,Contra Costa County,california,6013,37.919479,-121.951543,1049025,400263,1854268836,227485306,715.937,87.833,2.1,39.7,37.1,38.5,12.4,0.6,14.4,9.3,70.7,51.2,48.8,29.3,93.8,10.7,58.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,9,9,11,alamo quarry market,Bexar County,texas,48029,29.448671,-98.520147,1714773,662872,3211119983,42127509,1239.82,16.266,1.9,34.2,31.5,32.8,10.3,0.8,2.4,7.5,68.4,51.0,49.0,31.6,91.9,12.7,72.9,9.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
