,county,usps
0,bexar county,texas
1,broward county,florida
2,san diego county,california
3,bernalillo county,new mexico
4,washington county,new york
5,lenawee county,michigan
6,fulton county,georgia
7,alamance county,north carolina
8,contra costa county,california
10,montgomery county,alabama
11,kitsap county,washington
12,rapides parish,louisiana
13,mchenry county,illinois
14,santa clara county,california
15,harris county,texas
16,orange county,florida
17,jersey county,illinois
18,nassau county,new york
19,orange county,california
21,anderson county,south carolina
22,san juan county,new mexico
23,anne arundel county,maryland
25,los angeles county,california
26,olmsted county,minnesota
27,winchester city,virginia
28,douglas county,georgia
29,travis county,texas
30,sacramento county,california
31,maricopa county,arizona
33,tarrant county,texas
34,chemung county,new york
35,muskogee county,oklahoma
37,suffolk county,massachusetts
38,baltimore city,maryland
39,buncombe county,north carolina
40,ashtabula county,ohio
41,jefferson county,colorado
44,richmond county,georgia
46,washington county,maine
50,dinwiddie county,virginia
51,hancock county,maine
53,moody county,south dakota
54,cobb county,georgia
56,mercer county,new jersey
57,el paso county,texas
58,greene county,missouri
59,bay county,michigan
60,brown county,wisconsin
61,sussex county,virginia
63,galveston county,texas
64,alameda county,california
65,humboldt county,california
66,waukesha county,wisconsin
67,miami-dade county,florida
68,geauga county,ohio
69,beaver county,pennsylvania
70,mobile county,alabama
72,charleston county,south carolina
73,king county,washington
74,norfolk county,massachusetts
75,whatcom county,washington
76,denver county,colorado
77,district of columbia,district of columbia
82,st. clair county,michigan
83,mecklenburg county,north carolina
85,dupage county,illinois
86,hartford county,connecticut
88,ada county,idaho
90,lauderdale county,mississippi
92,erie county,new york
94,palm beach county,florida
95,bradley county,tennessee
97,cascade county,montana
98,taney county,missouri
99,new haven county,connecticut
102,washtenaw county,michigan
103,madison county,alabama
104,multnomah county,oregon
105,somerset county,new jersey
106,butler county,ohio
107,durham county,north carolina
108,bristol city,virginia
109,horry county,south carolina
112,smith county,texas
116,windham county,vermont
117,middlesex county,new jersey
118,appomattox county,virginia
121,burlington county,new jersey
122,middlesex county,massachusetts
123,chittenden county,vermont
