,store,store_id
0,1020 glass art,0
1,anne moore,1
2,austin java,2
3,austin macworks,3
4,bangolufsen,4
5,bar chi sushi,5
6,bed beyond,6
7,best buy,7
8,boconcept,8
9,cantina laredo,9
10,cathys cleaners,10
11,cru,11
12,delish,12
13,design within reach,13
14,att,14
15,eliza page,15
16,estilo boutique,16
17,etcetera etc,17
18,finch,18
19,gallery d,19
20,girl next door,20
21,home depot,21
22,how do you roll?,22
23,iii forks steakhouse,23
24,jos hot coffee,24
25,la condesamalverda,25
26,lamberts bbq,26
27,langford market,27
28,leaf,28
29,lofty dog,29
30,malaga,30
31,malverde,31
32,mama fus,32
33,marshalls,33
34,mercury design studio,34
35,milkhoney spa,35
36,missbehave boutique,36
37,nordstrom,37
38,peytons place,38
39,plain ivey jane,39
40,prize,40
41,royal blue grocery,41
42,salon by milkhoney,42
43,st bernard sports,43
44,tart frozen yogurt,44
45,teddies for bettys,45
46,teuscher chocolates,46
47,trace,47
48,violet crown cinema,48
49,wee,49
50,muvico theaters,50
51,toys r us,51
52,ace hardware,52
53,bank of america,53
54,barbeques galore,54
55,bretts bbq,55
56,capri blu,56
57,cinnabar acupuncture clnc,57
58,civil disobedience,58
59,coffee bean,59
60,color me mine,60
61,cost plus world market,61
62,cvspharmacy,62
63,daphnes greek cafe,63
64,dr melanie wang dds,64
65,european wax,65
66,geppettos,66
67,gloss beauty supply,67
68,verizon,68
69,great clips,69
70,hollywood tans,70
71,chilis,71
72,jamba juice,72
73,jimbos naturally,73
74,kids care club,74
75,mabels,75
76,maggie moos ice cream,76
77,panera,77
78,pei wei asian,78
79,petpeople,79
80,premier cleaners,80
81,prestige nail salon,81
82,credit union,82
83,pure barre,83
84,ralphs,84
85,eye care,85
86,remax,86
87,sublime pizza,87
88,the racquet place,88
89,the ups store,89
90,tre womens,90
91,united self defense,91
92,wahoos fish taco,92
93,washington mutual bank,93
94,wells fargo,94
95,wendys,95
96,zocalo,96
97,alfred angelo bridal,97
98,ann taylor,98
99,anthropologie,99
100,apple computer,100
101,armandos salon,101
102,bcbgmaxazria,102
103,bebe,103
104,bravo cucina,104
105,california pizza,105
106,carolyn pollack jewelry,106
107,coldwater creek,107
108,complete nutrition,108
109,eddie bauer,109
110,elephant bar,110
111,fidelity investments,111
112,francescas,112
113,gap,113
114,gymboree,114
115,hot accessories,115
116,chicos,116
117,j jill,117
118,j crew,118
119,jared,119
120,jos a bank,120
121,la bella,121
122,loccitane,122
123,lucky brand,123
124,lululemon athletica,124
125,lush,125
126,mac cosmetics,126
127,marcellos chophouse,127
128,mcalisters deli,128
129,perfume max,129
130,pottery barn,130
131,select comfort,131
132,soma intimates,132
133,starbucks,133
134,sunglass hut,134
135,talbots,135
136,the melting pot,136
137,the north face,137
138,t mobile,138
139,white house black market,139
140,williams sonoma,140
141,yoyo bliss bar,141
142,big dog sportswear,142
143,bon worth,143
144,coleman,144
145,corningrevere,145
146,dress barn,146
147,easy spirit,147
148,factory brand shoes,148
149,kitchen collection,149
150,leggs hanes bali playtex,150
151,liz claiborne,151
152,swank factory store,152
153,the paper factory,153
154,adrian goldsilver exchange,154
155,aeropostale,155
156,american eagle,156
157,american greeting,157
158,bathbody,158
159,centennial wireless,159
160,claires,160
161,comtronics,161
162,deb,162
163,elder beerman,163
164,enzo,164
165,finish line,165
166,game frenzy,166
167,garfields,167
168,gnc,168
169,golden gear,169
170,christopherbanks,170
171,jcpenney,171
172,k nails,172
173,kay jewelersrys,173
174,lil orbits,174
175,magic wok,175
176,mastercuts,176
177,maurices,177
178,mc sporting goods,178
179,moonwalk adventures,179
180,payless,180
181,pearle vision,181
182,piercing pagoda,182
183,radio shack,183
184,regis,184
185,rogershollands,185
186,sam goody,186
187,sears,187
188,sprint,188
189,tax pro filers,189
190,the shoe dept,190
191,tims eatery,191
192,waldenbooks,192
193,weight watchers,193
194,york country designs,194
195,bank of north georgia,195
196,cinco mexican restaurant,196
197,honeybaked ham,197
198,hooter,198
199,chick fil a,199
200,chipotle mexican grill,200
201,jenny craig,201
202,la fitness,202
203,lane bryant,203
204,longhorn steakhouse,204
205,my friends place,205
206,nail stop,206
207,party city,207
208,pinkberry,208
209,subway,209
210,sports authority,210
211,the vitamin shoppe,211
212,top spice thaimalaysian,212
213,winestyles,213
214,footlocker,214
215,lenscrafter,215
216,sephora,216
217,childrens place,217
218,victoria secret,218
219,barnes noble booksellers,219
220,barnes noble cafe,220
221,belk,221
222,bistro carousel cinemas,222
223,brixx,223
224,buffalo wild wings,224
225,burger king,225
226,carousel cinemas at alamance crossing,226
227,cold stone creamery,227
228,dental works,228
229,dillards,229
230,divas nails,230
231,elite spa,231
232,hallmark,232
233,hobby lobby,233
234,icing by claires,234
235,justice,235
236,le creuset,236
237,lifeway christian,237
238,loft,238
239,menswearhouse,239
240,mimis cafe,240
241,musicarts,241
242,new yorkcompany,242
243,olive garde,243
244,portrait innovations,244
245,qdoba mexican grill,245
246,red bowl asian bistro,246
247,red robin,247
248,rue 21,248
249,tec optometry,249
250,texas roadhouse,250
251,sleep number,251
252,wachovia bank,252
253,yankee candle,253
254,nine west,254
255,old navy,255
256,alameda art association,256
257,alameda beauty,257
258,alameda centre physicians,258
259,alameda pediatric dentistry,259
260,alameda towne centre public safety,260
261,alameda towne cleaners and alterations,261
262,annas linens,262
263,antidote salon,263
264,apple bee,264
265,avenue,265
266,bank of alameda,266
267,beverlys fabriccraft,267
268,big 5 sporting goods,268
269,blockbuster,269
270,bon voyage luggage,270
271,borders,271
272,center hours,272
273,executive martinizing,273
274,24 hour fitness,274
275,fruitschocolate,275
276,gold spot jewelrys,276
277,handle with care packaging store,277
278,happy nails,278
279,chase bank,279
280,check into cash,280
281,china gourmet,281
282,chipotle,282
283,instant shoe care,283
284,kohls,284
285,launderland,285
286,loardâ??s ice cream,286
287,massage envy,287
288,merle norman,288
289,modern mouse,289
290,paganos hardware store,290
291,pearls deluxe burgers,291
292,petco,292
293,ross dress for less,293
294,safeway,294
295,sees candies,295
296,soccer post,296
297,sophistry custom skin care,297
298,south shore cafe,298
299,south shore car wash,299
300,south shore florist,300
301,south shore liquors,301
302,sushi house,302
303,tj maxx,303
304,trader joes,304
305,walgreens,305
306,zeytini restaurantbar,306
307,bally,307
308,banana republic,308
309,game stop,309
310,20 nine rest wine bar,310
311,alta moda,311
312,amys ice cream,312
313,ben adams jewelsgifts,313
314,calico corners,314
315,canyon cafe,315
316,club humidor,316
317,corner bakerycafe,317
318,crazy 8,318
319,drapersdamons,319
320,everything but water,320
321,ezs brick ovengrill,321
322,fast forward,322
323,fire bowl cafe,323
324,flemings,324
325,freddys steakburgers,325
326,charming charlie,326
327,j alexanders,327
328,james avery,328
329,joes crab shack,329
330,learning express,330
331,lucchese boot,331
332,matress firm,332
333,michaels,333
334,my fit foods,334
335,orange cup yogurt,335
336,oreck,336
337,p f changs,337
338,papoulis greek grill,338
339,quarry nails,339
340,rack room,340
341,regal cinemas,341
342,relax the back,342
343,restoration hardware,343
344,tanfastic,344
345,tgf precision haircutters,345
346,the woodhouse day spa,346
347,todays eyes,347
348,ulta,348
349,university coop,349
350,whole earth provision,350
351,whole foods,351
352,wolf camera,352
353,yogurt zone,353
354,amys hallmark,354
355,journeys,355
356,lids,356
357,trade secret,357
358,5th avenue fashions,358
359,a spot,359
360,abrahams leather,360
361,albany nails,361
362,albany newstand,362
363,ashley stewart,363
364,auntie anne,364
365,babbages,365
366,beautiful brows,366
367,blue moon yogurt,367
368,body shop,368
369,books a million,369
370,carmens,370
371,cinnabon,371
372,city gear,372
373,eses shoes,373
374,fye,374
375,foot action,375
376,gold n diamonds,376
377,great american cookie,377
378,hr block,378
379,hibbettt,379
380,china cafe usa,380
381,chuck e cheese,381
382,jewelry land,382
383,jo ann fabricscraft,383
384,kirklands,384
385,man alive,385
386,mw tux,386
387,nail 1st,387
388,natural hair wonders,388
389,olan mills,389
390,on the spot jewelry,390
391,oxford st mans,391
392,petspals,392
393,prepaid zone,393
394,prestige jewelry,394
395,reeds jewelrys,395
396,sbarro,396
397,shinaults,397
398,shirin jewelrys,398
399,shoe box,399
400,shoe dept,400
401,silver city,401
402,spencer,402
403,sugar shack,403
404,sunset grill,404
405,tas closet,405
406,treasures,406
407,university giftsapparel,407
408,walk n talk t moblsprint,408
409,wet seal,409
410,wing dixiedeli,410
411,wireless communications,411
412,zales,412
413,abercrombie,413
414,aldo,414
415,american apparel,415
416,ben bridge,416
417,cache,417
418,coach,418
419,crocs,419
420,disney,420
421,express,421
422,forever 21,422
423,hollister,423
424,hot topic,424
425,champs sport,425
426,janie and jack,426
427,pacific sunwear,427
428,sanrio,428
429,swarovski,429
430,the walking company,430
431,vans,431
432,body jewel,432
433,alley kat,433
434,amc loews alderwood mall 16,434
435,aveda,435
436,bc surfsport,436
437,beauty works,437
438,billabong,438
439,blue c sushi,439
440,brookstone,440
441,brow art,441
442,buckle,442
443,build a bear,443
444,cajun grill,444
445,cash for gold,445
446,cell phone access,446
447,claim jumper,447
448,claires accessories,448
449,clarkâ??s of england,449
450,clear,450
451,coldstone creamery,451
452,comcast,452
453,currito burrito,453
454,daiso,454
455,diamond wireless,455
456,empire today,456
457,etiquette,457
458,fast fix jewelry repairs,458
459,forlove 21,459
460,fred meyer,460
461,fuego,461
462,gene juarez salon,462
463,ghost armor,463
464,godiva,464
465,gw portraits,465
466,helly hansen,466
467,helzberg diamond,467
468,hot dog on a stick,468
469,house of cutlery,469
470,charley,470
471,iso beauty,471
472,jg fashions,472
473,japan cafe,473
474,just sports,474
475,kits camera,475
476,lava java,476
477,learning quest toys,477
478,limited,478
479,love culture,479
480,luxury nail,480
481,macy s,481
482,made in washington,482
483,mariners team store,483
484,marks gold crown hallmark,484
485,metropark,485
486,miamax,486
487,micabella,487
488,motherhood maternity,488
489,mrs fields,489
490,my cute pillow pets,490
491,naartjie,491
492,new balance,492
493,cafe bistro,493
494,oakley â??oâ?? store,494
495,panda,495
496,papyrus,496
497,parfumerie,497
498,pearle vision center,498
499,picture people,499
500,pokemon,500
501,precision time,501
502,pro-active,502
503,pumpkin patch,503
504,quiznos,504
505,red mango,505
506,rei,506
507,romanos macaroni grill,507
508,romy,508
509,rosetta stone,509
510,sheepskin,510
511,shiekh,511
512,silverworks,512
513,soho,513
514,spa therapy,514
515,stride rite,515
516,sweet factory,516
517,taco time,517
518,teavana,518
519,things remembered,519
520,urban outfitters,520
521,victoria secret beauty,521
522,vitamin world,522
523,zumiez,523
524,3 jewelry,524
525,airbrush la,525
526,baby world,526
527,bag it,527
528,bryans bagsmore,528
529,bulls gym,529
530,burlington coat factory,530
531,california nail,531
532,cash 4 gold,532
533,cellular one,533
534,corn dog 7,534
535,cubby caboose,535
536,dead sea products,536
537,decibel,537
538,deja view,538
539,el rodeo,539
540,body art,540
541,eyemaster,541
542,famous wok,542
543,fashion boutique,543
544,fashion in style,544
545,fashion world,545
546,gold hut,546
547,gold time,547
548,gordons jewelrys,548
549,its fashion,549
550,jewelry palace,550
551,karats,551
552,kostallas,552
553,lagniappe theater,553
554,leather shop,554
555,ny burgerssteaks,555
556,pacsun,556
557,perfume gifts,557
558,perfume plaza,558
559,rite aid,559
560,shaans,560
561,slinkees,561
562,source clothing,562
563,sports n more,563
564,stage,564
565,suddenlink,565
566,the avenue,566
567,watch hut,567
568,weissgold ring,568
569,wireless phones,569
570,xpression,570
571,clarks,571
572,archivers,572
573,biaggis,573
574,bonefish grill,574
575,carters,575
576,cbs outdoors,576
577,cool cuts 4 kids,577
578,dicks sporting goods,578
579,discovery,579
580,dsw,580
581,gordmans,581
582,hot mama,582
583,houlihans,583
584,cheeseburgerparadise,584
585,chicago home fitness,585
586,kids bunksbeds,586
587,on the border,587
588,petsmart,588
589,shoelace inc,589
590,st rogers abbey,590
591,sylvan learning,591
592,the gourmet kernel,592
593,thirsty whale,593
594,venetian nail,594
595,vino 100,595
596,barnes noble,596
597,almaden musicdance,597
598,almaden plaza dental care,598
599,ana furniture,599
600,apple one employment,600
601,baskin robbins,601
602,buybuy baby,602
603,costco,603
604,creative hairdressers,604
605,diddams party store,605
606,five guy,606
607,fresh choice,607
608,happi house,608
609,house of bagels,609
610,chase,610
611,chevys mexican,611
612,inspa,612
613,kb fitness,613
614,majestic beauty supply,614
615,metlife home loan,615
616,national first credit,616
617,omaha steaks,617
618,orange leaf,618
619,real produce,619
620,red lobster,620
621,style for less,621
622,tj maxxn more,622
623,tandoori bistro,623
624,tillys,624
625,tuesday morning,625
626,us recruiting air force,626
627,us recruiting army,627
628,us recruiting marines,628
629,us recruiting navy,629
630,viva nail salon,630
631,wingstop,631
632,work world,632
633,macys,633
634,3 d games,634
635,air grafix,635
636,all shoes 9 99,636
637,belts of the world,637
638,bigg city,638
639,cellular zone,639
640,cosmetic cove,640
641,creative consumer rsrch,641
642,cricket,642
643,err,643
644,exclusive furniture,644
645,geovanni clothing,645
646,gizzmos,646
647,glitters,647
648,golddiamond,648
649,image,649
650,kaleidoscoop,650
651,kfc,651
652,lady world,652
653,lollipops,653
654,magic shots,654
655,mero,655
656,oro italiano,656
657,oro perfumania,657
658,palais royal,658
659,pcx,659
660,piccadilly cafeteria,660
661,rainbow,661
662,rainbow pluskids,662
663,sams burgersgyro,663
664,sesame hut,664
665,shoe envy,665
666,star shots,666
667,thirstys,667
668,toyz,668
669,underground station,669
670,uniforms n more,670
671,vibrations,671
672,villa pizza,672
673,visible changes,673
674,brighton,674
675,gold buyer,675
676,amc theaters,676
677,baby gap,677
678,bahama breeze,678
679,bakers,679
680,barnies coffee,680
681,beya,681
682,body shop skinhair care,682
683,club bff,683
684,cops center,684
685,dollar mania,685
686,dq,686
687,elegant accents,687
688,express men,688
689,extreme styles,689
690,fast fix jewelry repair,690
691,g by guess,691
692,hm,692
693,hovan gourmet,693
694,chao cajun,694
695,charlotte russe,695
696,in touch wireless,696
697,ink spot,697
698,ispice,698
699,jerie anns hallmark,699
700,magnific fine jewelrys,700
701,maki of japan,701
702,mandarin express,702
703,max rave,703
704,mayors jewelrys,704
705,mcdonald,705
706,nail spa,706
707,oceanology,707
708,oriental health massage,708
709,orlando ale house,709
710,paris nails,710
711,perfumania,711
712,pinocchios puppet thtre,712
713,professional shoe repair,713
714,quick test,714
715,seasons 52,715
716,sketchers,716
717,sol,717
718,solstice,718
719,taco bell,719
720,the prom store,720
721,traffic,721
722,urban wear,722
723,write in style,723
724,yobelle,724
725,zori store,725
726,amarillo texs steakhouse,726
727,crown vision center,727
728,family christian store,728
729,famous footwear,729
730,fungames arcade,730
731,gold stop,731
732,hickory farms,732
733,china gate,733
734,christian science,734
735,jw s plain ole kitchen,735
736,jackson hewittt tax svcs,736
737,kirlins hallmark,737
738,olgas kitchen,738
739,radio shack wireless,739
740,savvi formal wear,740
741,spirit halloween,741
742,the cookie factory bakery,742
743,us postal service,743
744,yeti wireless,744
745,armani,745
746,bottega veneta,746
747,burberry,747
748,cartier,748
749,cole haan,749
750,dior,750
751,escada,751
752,fendi,752
753,gucci,753
754,hermes,754
755,ilori,755
756,jimmy choo,756
757,juicy couture,757
758,lacoste,758
759,louis vuitton,759
760,michael kors,760
761,ralph lauren,761
762,salvatore ferragamo,762
763,st john,763
764,tiffany,764
765,wolford boutique,765
766,aliceolivia,766
767,anne fontaine,767
768,brooks brothers,768
769,cipollini pronto cafe,769
770,concierge store,770
771,david yurman,771
772,donna karan,772
773,ermenegildo zegna,773
774,estee lauder,774
775,etro,775
776,hirshleifers,776
777,hirshleifers etc,777
778,hirshleifers shoe salon,778
779,hsbc,779
780,ch carolina herrera,780
781,chanel,781
782,chrome hearts,782
783,intermix,783
784,j mendel,784
785,leggiadro,785
786,london jewelrys,786
787,london jewelrys watch,787
788,loro piana,788
789,malandrino,789
790,martin viette,790
791,maxmara,791
