new_id,old_id,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
0,1046,StoneCrest at Piper Glen,Mecklenburg County,north carolina,37119,35.246862,-80.833832,919628,398510,1356745512,57153194,523.842,22.067,3.3,34.9,32.8,33.9,8.8,0.5,4.6,30.8,62.3,51.6,48.4,37.7,90.9,6.2,55.3,11.3,"department store:1,nutritional supplements:1,coffee:1,restaurant:1,telecommunication:1,women's clothing:1"
1,784,Ocean County Mall,Ocean County,new jersey,34029,39.86585,-74.263027,576567,278052,1628534966,742342470,628.781,286.62,2.5,44.8,40.2,42.6,21,0.2,1.7,3.2,67.5,52.1,47.9,32.5,79.5,2.5,91,10.3,"jewelry:5,clothing:10,sports clothing:1,mattress:1,headwear:1,consumer electronics:1,beauty products:1,children's apparel:1,nutritional supplements:1,plus size clothing:1,personalized gifts:1,telecommunication:2,footwear:4,girl's clothing:1,women's handbags:1,shoes:2,women's clothing:3,sports apparel:1,women's jewelry:1,coffee:1,photography:1,children's clothing:1,eyewear:3,restaurant:3, clothing:1,guest services:1"
2,900,Richardson Square Mall,Dallas County,texas,48113,32.766987,-96.778424,2368139,943257,2256602704,96696353,871.279,37.335,2.3,33.4,31.6,32.5,8.8,0.7,5,22.3,65.4,50.6,49.4,34.6,90.7,15.5,53.5,11.9,"restaurant:1,clothing:1"
3,1227,The Village at Allen,Collin County,texas,48085,33.193885,-96.578153,782341,300960,2178761906,116235513,841.225,44.879,1.8,35.6,34.3,35,7.7,0.6,11.2,8.5,72.9,50.9,49.1,27.1,94.3,5.1,71.6,9,"nutritional supplements:1,clothing:1,ice cream:1,men's clothing:1,home furnishings:1,restaurant:1,telecommunication:2,sporting goods:1,furniture:1,consumer electronics:1"
4,1289,University Village,Platte County,nebraska,31141,41.576866,-97.513467,32237,13378,1745805649,27272400,674.059,10.53,1.1,39.7,36.9,38.2,14.9,0.7,0.5,0.4,68.8,49.9,50.1,31.2,94.6,6.9,90,6,"jewelry:1,clothing:2,books and digital media:1,nutritional supplements:1,women's clothing:3,consumer electronics:1,beauty products:1,coffee:1,clothing & shoes:1,furniture:2,restaurant:2,denim:1"
5,331,Exton Square Mall,Chester County,pennsylvania,42029,39.973965,-75.749732,498886,192462,1943805957,22602804,750.508,8.727,1.5,40.3,38.1,39.3,12.8,0.2,3.9,6.1,70.6,50.9,49.1,29.4,95,2.4,85.5,7.7,"jewelry:6,clothing:14,men's clothing:1,sports clothing:1,headwear:1,consumer electronics:1,beauty products:2,children's apparel:1,nutritional supplements:2,plus size clothing:1,personalized gifts:1,telecommunication:2,video games:1,girl's clothing:1,women's clothing:3,women's jewelry:2,maternity clothing:1,children's clothing:1,eyewear:1,hair care:1,restaurant:2,children's footwear:1, beauty products:1"
6,1036,St. Lawrence Centre,St. Lawrence County,new york,36089,44.488112,-75.074311,111944,52133,6942144728,365348866,2680.377,141.062,1.6,39.2,35.7,37.5,13.9,1,1,2.2,63.9,49.2,50.8,36.1,79.8,0.6,93.9,5.5,"jewelry:1,clothing:3,men's clothing:1,women's clothing:1,sports apparel:1,beauty products:1,nutritional supplements:1,photography:1,hair care:1,restaurant:4,video games:1,footwear:2"
7,124,Broadway Plaza,Contra Costa County,california,6013,37.919479,-121.951543,1049025,400263,1854268836,227485306,715.937,87.833,2.1,39.7,37.1,38.5,12.4,0.6,14.4,9.3,70.7,51.2,48.8,29.3,93.8,10.7,58.6,6.8,"jewelry:1,clothing:4,stuffed animals:1,shoes:1,women's handbags:1,makeup:1,women's clothing:2,women's jewelry:1,beauty products:2,children's apparel:1,coffee:1, accessories:1,chocolates:1,eyewear:1,men's gifts:1,restaurant:3,denim:1,footwear:1"
8,704,Monte Vista Crossings,Wake County,north carolina,37183,35.789846,-78.650624,900993,371836,2163206258,57246693,835.219,22.103,2.5,35.3,33.4,34.4,8.5,0.5,5.4,20.7,65.7,51.3,48.7,34.3,93,4.5,66.3,8.4,"department store:1,coffee:1,clothing:1,ice cream:1,home furnishings:1,restaurant:6,telecommunication:2,footwear:2,furniture:1,beauty products:1"
9,939,San Jacinto Mall,Kimble County,texas,48267,30.479472,-99.746396,4607,3371,3240040898,493622,1250.987,0.191,2.5,49.9,47.6,48.6,22.8,0.8,0.4,0.4,64.8,50.5,49.5,35.2,59.8,5.9,91.5,7.4,"jewelry:1,clothing:4,shoes:1,women's clothing:1,sports apparel:1,women's jewelry:1,beauty products:1,maternity clothing:1,nutritional supplements:1,photography:1, clothing:2,eyewear:1,hair care:2,restaurant:1,diamonds:1,telecommunication:1,footwear:2,cookies:1"
