,store_id,store_name
0,0, 1020 Glass Art
1,1, Anne Moore
2,2, Austin Java
3,3, Austin MacWorks
4,4, Bang & Olufsen
5,5, Bar Chi Sushi
6,6, Bed Bath & Beyond
7,7, Best Buy
8,8, BoConcept
9,9, Cantina Laredo
10,10, Cathy's Cleaners
11,11, CRU
12,12, delish
13,13, Design Within Reach
14,14," Dr. Shane Matt, DDS"
15,15, Duo (Coming Soon)
16,16, Eliza Page
17,17, Estilo Boutique
18,18," Etcetera, Etc"
19,19, Finch
20,20, gallery d
21,21, Girl Next Door
22,22, Home Depot
23,23, How Do You Roll?
24,24, III Forks Steakhouse
25,25, Jo's Hot Coffee
26,26, La Condesa & Malverda
27,27, Lamberts BBQ
28,28, Langford Market
29,29, Leaf
30,30, Lofty Dog
31,31, Malaga
32,32, Malverde
33,33, Mama Fu's
34,34, Marshalls
35,35, Mercury Design Studio
36,36, Milk & Honey Spa
37,37, Missbehave Boutique
38,38, Nordstrom Rack
39,39, Peyton's Place
40,40, Plain Ivey Jane
41,41, Prize
42,42, Royal Blue Grocery
43,43, Salon by Milk & Honey
44,44, St. Bernard Sports
45,45, Tart Frozen Yogurt
46,46, Teddies for Bettys
47,47, Teuscher Chocolates
48,48, TRACE
49,49, Violet Crown Cinema
50,50, Wee
51,51, Muvico Theaters
52,52, Toys R Us
53,53, Ace Hardware
54,54, Bank of America 
55,55, Barbeques Galore
56,56, Brett's BBQ
57,57, Capri Blu
58,58, Cinnabar Acupuncture Clnc
59,59, Civil Disobedience
60,60, Coffee Bean & Tea
61,61, Color Me Mine
62,62, Cost Plus World Market
63,63, CVS/Pharmacy
64,64, Daphne's Greek Cafe
65,65, Dental Treatment Center
66,66," Dr. Melanie Wang, DDS"
67,67, European Wax Center
68,68, Geppetto's Toy Store
69,69, Gloss Beauty Supply
70,70, Go Wireless-Verizon
71,71, Great Clips
72,72, Hollywood Tans
73,73, Chili's
74,74, Jamba Juice
75,75, Jimbo's Naturally
76,76, Kids Care Club
77,77, Mabel's
78,78, MaggieMoo's Ice Cream
79,79, Panera Bread
80,80, Pei Wei Asian Diner
81,81, PetPeople
82,82, Premier Cleaners
83,83, Prestige Nail Salon
84,84, Pt. Loma Credit Union
85,85, pure barre
86,86, Ralphs
87,87, Rancho Bernardo Eye Care
88,88, Re/Max of Rancho Bernado
89,89, Sublime Pizza
90,90, The Racquet Place
91,91, The UPS Store
92,92, TRE Women's
93,93, United Self Defense
94,94, Wahoo's Fish Taco
95,95, Washington Mutual Bank
96,96, Wells Fargo
97,97, Wendy's
98,98, Zocalo Grill
99,99, Alfred Angelo Bridal
100,100, Ann Taylor
101,101, Anthropologie
102,102, Apple Computer
103,103, Armando's Salon
104,104, AT&T;
105,105, BCBGMAXAZRIA
106,106, bebe
107,107, Bravo! Cucina Italiana
108,108, California Pizza Kitchen
109,109, Carolyn Pollack Jewelry
110,110, Coldwater Creek
111,111, Complete Nutrition
112,112, Eddie Bauer
113,113, Elephant Bar
114,114, Fidelity Investments
115,115, Francesca's Collections
116,116, Gap
117,117, Gymboree
118,118, Hot Accessories
119,119, Chico's
120,120, J. Jill
121,121, J.Crew
122,122, Jared The Galleria of Jewelry
123,123, Jos. A. Bank
124,124, La Bella Day Spa
125,125, L'Occitane
126,126, Lucky Brand Jeans
127,127, Lululemon Athletica
128,128, LUSH
129,129, MAC Cosmetics
130,130, Marcello's Chophouse
131,131, Mattress Firm Tempur-Pedic Gallery
132,132, McAlisters Deli
133,133, Perfume Max
134,134, Pottery Barn
135,135, Sleep Number by Select Comfort
136,136, Soma Intimates
137,137, Starbucks Coffee
138,138, Sunglass Hut
139,139, Talbots
140,140, The Melting Pot
141,141, The North Face
142,142, T-Mobile
143,143, White House Black Market
144,144, Williams-Sonoma
145,145, YOYO Bliss Bar
146,146, Big Dog Sportswear
147,147, Bon Worth
148,148, Coleman
149,149, Corning / Revere
150,150, Dress Barn / Dress Barn Woman
151,151, Easy Spirit
152,152, Factory Brand Shoes
153,153, Kitchen Collection
154,154, L'Eggs Hanes Bali Playtex
155,155, Liz Claiborne Outlet
156,156, Swank Factory Store
157,157, The Paper Factory
158,158, Adrian Gold & Silver Exchange
159,159, Aéropostale
160,160, American Eagle Outfitters
161,161, American Greetings
162,162, Bath & Body Works
163,163, Centennial Wireless
164,164, Claire's
165,165, Comtronics
166,166, Deb
167,167, Elder Beerman
168,168, Enzo's Pizza
169,169, Finish Line
170,170, Game Frenzy
171,171, Garfield's
172,172, General Nutrition Center
173,173, Golden Gear
174,174, Christopher & Banks
175,175, JCPenney
176,176, K Nails
177,177, Kay Jewelers
178,178, Lil Orbits
179,179, Magic Wok
180,180, Management Office
181,181, Mastercuts
182,182, Maurices
183,183, MC Sporting Goods
184,184, Moonwalk Adventures
185,185, Payless Shoesource
186,186, Pearle Vision
187,187, Piercing Pagoda
188,188, RadioShack
189,189, Regis
190,190, Rogers & Hollands Jewelers
191,191, Sam Goody
192,192, Sears
193,193, Sprint
194,194, Tax Pro Filers
195,195, The Shoe Dept
196,196, Tim's Eatery
197,197, Waldenbooks
198,198, Weight Watchers
199,199, York Country Designs
