category,rate,name,address,url,price_range
Mobile Phones,5.0 star rating,cellular inc ,,,$
Jewelry,5.0 star rating,samuels jewelers,,,
"Kitchen & Bath,Furniture Stores,Mattresses",2.5 star rating,j b robinson jewelers,,,$$
Sports Wear,3.5 star rating,nike shop,,,$$$
"Caribbean,Cuban,Latin American",4.5 star rating,mojito grill,,,$$
"Men's Clothing,Shoe Stores,Women's Clothing",4.0 star rating,gq sports,,,$$$$
Sewing & Alterations,4.5 star rating,right size alterations*,,,
"American (Traditional),Bars",3.5 star rating,the monkey bar,,,$$$
Pet Groomers,3.0 star rating,puppy love,,,
Furniture Stores,,the room store,,,
American (Traditional),3.0 star rating,cinema cafe,,,$$
"Italian,Seafood",4.0 star rating,casa gallardo,,,$$$$
Nail Salons,2.0 star rating,happy nails,,,$
"Day Spas,Hair Removal,Makeup Artists",4.0 star rating,nora threading,,,$
Hotels,4.0 star rating,diamond resort,,,$$$
Ice Cream & Frozen Yogurt,5.0 star rating,tcby,,,
"Private Tutors,Test Preparation",5.0 star rating,mountain state university,,,
Cosmetic Surgeons,,dr mcshane,,,
American (New),3.5 star rating,sweetwaters,,,$$
Bookstores,4.5 star rating,waldenbooks,,,$$
Libraries,4.5 star rating,armed forces recruiting center,,,
"Sushi Bars,Japanese",4.0 star rating,chop sticks japan,,,$$
"Furniture Stores,Mattresses",5.0 star rating,urban home furnishings,,,$$$
Children's Clothing,,the rugged bear,,,
"Home Decor,Hobby Shops",4.5 star rating,fossil company store,,,$$$
"Burgers,Pizza",2.0 star rating,got beans,,,
,,wind song,,,
"Optometrists,Eyewear & Opticians",4.0 star rating,ray-ban,,,$$
,,md fashion,,,
"Desserts,Bakeries,Juice Bars & Smoothies",3.0 star rating,mrs fields cookies,,,$
"Hair Removal,Eyelash Service",4.5 star rating,art of eyebrows,,,$
Burgers,3.5 star rating,crazy gs hot dogs,,,$$
Home Decor,5.0 star rating,lone star decor,,,$$
"Adult Entertainment,Lounges",4.0 star rating,sugar daddys,,,$
"Pubs,American (Traditional)",3.5 star rating,finnegans too,,,$$
Shanghainese,4.0 star rating,siu international,,,$$
,,rags to riches,,,
Cinema,2.5 star rating,phoenix theatres,,,
Shoe Stores,4.0 star rating,bostonian clarks ,,,
Cosmetics & Beauty Supply,,hollywood beauty supply,,,
Coffee & Tea,4.0 star rating,tapioca delight,,,$
Accessories,4.0 star rating,rain or shine,,,$$$
"Middle Eastern,Mediterranean",4.0 star rating,porto fino handbags,,,$$
Jewelry,4.0 star rating,frank adams jewelers,,,$$$$
Skin Care,,pro-activ,,,
"Sushi Bars,Japanese",3.5 star rating,sarku japan sushi,,,$
"Kitchen & Bath,Furniture Stores,Mattresses",2.5 star rating,progressive imports,,,$$
"Jewelry Repair,Watch Repair",2.0 star rating,fast fix,,,
,3.0 star rating,kidz,,,
"Mexican,Bars",3.5 star rating,the cantina bar and grill,,,
Television Service Providers,1.0 star rating,best com sprint ,,,
"Home Decor,Arts & Crafts",5.0 star rating,pillow friends,,,$$
"Caribbean,Vegetarian",4.5 star rating,natures,,,$
"American (Traditional),Fast Food",4.0 star rating,cheese boy,,,$
"Gyms,Trainers",3.0 star rating,body efx,,,
"Museums,Art Galleries",5.0 star rating,prado collection,,,$
Professional Services,1.0 star rating,jc penney portrait studio,,,
Mexican,3.5 star rating,chile verde,,,$$
"Ice Cream & Frozen Yogurt,Thai",4.0 star rating,twist again,,,$$
Mexican,4.0 star rating,frontera fresco,,,$$
Department Stores,3.5 star rating,t j maxxhomegoods,,,$$
"Handyman,Home Cleaning",4.0 star rating,ms leslie- psychic,,,
Eyewear & Opticians,4.0 star rating,sunglass hut*,,,$$$
"Music Venues,Lounges",4.0 star rating,old mill playhouse,,,$$
Jewelry,5.0 star rating,dixie trading post,,,$$
Gyms,2.0 star rating,synergy wellness court,,,
"Apartments,Real Estate Services",3.0 star rating,urban living,,,
,,asbury galleria,,,
Lingerie,,maidenform stores,,,
Barbeque,4.0 star rating,esl credit union,,,$$
Jewelry,3.5 star rating,bangs watch repair,,,$$
Barbeque,4.0 star rating,jimn nicks bar-b-q,,,$$
Electronics,3.0 star rating,verizon fios,,,
,,custom cut,,,
"Gyms,Day Spas",4.5 star rating,sportshealth,,,$$$
Tanning,3.5 star rating,hollywood tans,,,$$
"Chinese,Caribbean",3.5 star rating,bamboo express,,,$
"Ice Cream & Frozen Yogurt,Cafes",4.0 star rating,cafe creamery,,,$
"Newspapers & Magazines,Ice Cream & Frozen Yogurt",4.0 star rating,avenues newstand,,,$
Hair Salons,4.5 star rating,regis hair salon,,,$$
Wholesale Stores,3.5 star rating,dalys pen shop,,,$$
,,premier beauty,,,
"Physical Therapy,Naturopathic/Holistic",4.5 star rating,vt symphony orchestra,,,
