category,rate,name,address,url,price_range
"Lounges,Dance Clubs,Music Venues",2.5 star rating,1020 glass art,,,$$
Kitchen & Bath,4.0 star rating,bed beyond,,,$$
"Japanese,Sushi Bars",4.5 star rating,bar chi sushi,,,$$
Acupuncture,5.0 star rating,anne moore,,,
"Electronics,Music & DVDs,Appliances & Repair",2.5 star rating,best buy,,,$$
Electronics,3.0 star rating,bangolufsen,,,$$$$
Coffee & Tea,4.5 star rating,austin java,,,$
"Furniture Stores,Interior Design,Home Decor",4.5 star rating,boconcept,,,$$$
"Mexican,Bars,Tex-Mex",3.0 star rating,cantina laredo,,,$$
DJs,5.0 star rating,cru,,,
Dry Cleaning & Laundry,4.5 star rating,cathys cleaners,,,$$
"Jewelry,Women's Clothing",4.5 star rating,etcetera etc,,,$
Delis,3.0 star rating,delish,,,$
Mobile Phones,2.5 star rating,att,,,$$
Bookstores,4.5 star rating,eliza page,,,$$
"Furniture Stores,Home Decor",3.5 star rating,design within reach,,,$$$
"Jewelry,Accessories",5.0 star rating,estilo boutique,,,
Counseling & Mental Health,5.0 star rating,finch,,,
"Art Galleries,Comic Books,Hobby Shops",3.5 star rating,gallery d,,,$$
"Hardware Stores,Nurseries & Gardening,Appliances",3.0 star rating,home depot,,,$$
Sandwiches,4.5 star rating,jos hot coffee,,,$$
"Men's Clothing,Women's Clothing",4.5 star rating,girl next door,,,$$
"Women's Clothing,Jewelry",5.0 star rating,langford market,,,$$
"Sushi Bars,Japanese",4.0 star rating,how do you roll?,,,$$
Steakhouses,4.0 star rating,iii forks steakhouse,,,$$$$
Breakfast & Brunch,4.0 star rating,lamberts bbq,,,$$
"Skin Care,Cosmetics & Beauty Supply,Hair Removal",5.0 star rating,malverde,,,$$
Professional Services,5.0 star rating,malaga,,,
"Indian,Halal,Pakistani",4.5 star rating,leaf,,,$$
Pet Boarding/Pet Sitting,5.0 star rating,lofty dog,,,
Department Stores,3.0 star rating,marshalls,,,$$
Coffee & Tea,4.5 star rating,milkhoney spa,,,$
Asian Fusion,4.5 star rating,mama fus,,,$$$
"Home Decor,Furniture Stores",3.0 star rating,mercury design studio,,,$$
"Department Stores,Men's Clothing,Women's Clothing",4.0 star rating,nordstrom,,,$$$
American (New),4.5 star rating,peytons place,,,$$$$
Bakeries,4.0 star rating,plain ivey jane,,,$$
Coffee & Tea,4.5 star rating,salon by milkhoney,,,$
"Antiques,Women's Clothing,Accessories",3.5 star rating,prize,,,
Grocery,4.0 star rating,royal blue grocery,,,$$
Men's Clothing,4.0 star rating,st bernard sports,,,$$$$
"Ice Cream & Frozen Yogurt,Coffee & Tea",4.0 star rating,tart frozen yogurt,,,$$
"Lingerie,Women's Clothing",4.5 star rating,teddies for bettys,,,$$
Chocolatiers & Shops,4.5 star rating,teuscher chocolates,,,$$$
Cinema,3.0 star rating,muvico theaters,,,
"American (New),Wine Bars",3.5 star rating,violet crown cinema,,,$$$
"Sewing & Alterations,Children's Clothing",4.0 star rating,wee,,,$$$
American (New),3.5 star rating,trace,,,$$
Banks & Credit Unions,3.5 star rating,bank of america,,,
Toy Stores,2.5 star rating,toys r us,,,$$
Hardware Stores,4.5 star rating,ace hardware,,,$$
Appliances,2.0 star rating,barbeques galore,,,$$$
"Drugstores,Convenience Stores,Cosmetics & Beauty Supply",3.5 star rating,civil disobedience,,,$
"Italian,Pizza,Seafood",4.0 star rating,capri blu,,,$$
"American (New),Barbeque",3.5 star rating,bretts bbq,,,$$
Hair Stylists,5.0 star rating,cvspharmacy,,,$$
Coffee & Tea,3.5 star rating,coffee bean,,,$
"Home Decor,Furniture Stores,Beer, Wine & Spirits",4.5 star rating,cost plus world market,,,$$
"Arts & Crafts,Party & Event Planning",3.5 star rating,color me mine,,,$$
Pediatric Dentists,4.0 star rating,dr melanie wang dds,,,
Hair Removal,4.0 star rating,european wax,,,$$
Delis,3.5 star rating,geppettos,,,$
"Greek,Mediterranean",3.0 star rating,daphnes greek cafe,,,$
"Cosmetics & Beauty Supply,Hair Salons",5.0 star rating,gloss beauty supply,,,$$
"Mobile Phones,Electronics,Internet Service Providers",3.0 star rating,verizon,,,$$$
Hair Salons,2.5 star rating,great clips,,,$
"Spray Tanning,Skin Care,Eyelash Service",5.0 star rating,hollywood tans,,,$$
Juice Bars & Smoothies,4.0 star rating,jamba juice,,,$
"American (Traditional),Tex-Mex",3.0 star rating,chilis,,,$$
"Candy Stores,Chocolatiers & Shops",4.5 star rating,jimbos naturally,,,$$
"Gyms,Swimming Lessons/Schools,Child Care & Day Care",4.0 star rating,kids care club,,,
Hair Salons,4.0 star rating,mabels,,,$$
"Sandwiches,Salad,Soup",3.5 star rating,panera,,,$
"Ice Cream & Frozen Yogurt,Bakeries",4.5 star rating,maggie moos ice cream,,,$
"Vietnamese,Asian Fusion,Bars",3.5 star rating,pei wei asian,,,$$$
Hair Stylists,5.0 star rating,prestige nail salon,,,$$
Dry Cleaning & Laundry,5.0 star rating,premier cleaners,,,
Pet Stores,4.5 star rating,petpeople,,,
"Banks & Credit Unions,Investing",4.5 star rating,credit union,,,
Barre Classes,5.0 star rating,pure barre,,,
Grocery,,ralphs,,,
"Commercial Real Estate,Real Estate Agents,Real Estate Services",,remax,,,
"Optometrists,Eyewear & Opticians",4.5 star rating,eye care,,,$$$
"Shipping Centers,Notaries,Printing Services",4.0 star rating,the ups store,,,
Pizza,4.5 star rating,sublime pizza,,,$$
"Men's Clothing,Women's Clothing,Accessories",4.5 star rating,tre womens,,,$$$$
Tennis,5.0 star rating,the racquet place,,,
"Banks & Credit Unions,Investing,Financial Advising",4.0 star rating,washington mutual bank,,,
Martial Arts,4.5 star rating,united self defense,,,
Banks & Credit Unions,4.0 star rating,wells fargo,,,
"Mexican,Sports Bars,Comfort Food",3.5 star rating,wahoos fish taco,,,$
Bridal,3.5 star rating,alfred angelo bridal,,,$$
"Burgers,Fast Food",3.0 star rating,wendys,,,$
Latin American,4.0 star rating,zocalo,,,$
"Women's Clothing,Shoe Stores",3.0 star rating,ann taylor,,,$$$
"Accessories,Women's Clothing",5.0 star rating,bcbgmaxazria,,,$$$
Hair Salons,5.0 star rating,armandos salon,,,$$
Women's Clothing,3.5 star rating,anthropologie,,,$$$
"Computers,Mobile Phones,IT Services & Computer Repair",3.5 star rating,apple computer,,,$$$
"Women's Clothing,Accessories",3.0 star rating,bebe,,,$$$
Seafood,3.5 star rating,carolyn pollack jewelry,,,$$
Italian,4.5 star rating,bravo cucina,,,$$
"Women's Clothing,Accessories",3.0 star rating,coldwater creek,,,$$
"Nutritionists,Weight Loss Centers",4.5 star rating,complete nutrition,,,
"Sports Wear,Luggage",3.5 star rating,eddie bauer,,,$$
"Asian Fusion,Bars,American (New)",2.5 star rating,elephant bar,,,$$
Accessories,5.0 star rating,francescas,,,$$
"Pizza,American (Traditional)",3.5 star rating,california pizza,,,$$
Children's Clothing,3.5 star rating,gymboree,,,$$
"Women's Clothing,Men's Clothing,Children's Clothing",3.0 star rating,gap,,,$$
Investing,3.0 star rating,fidelity investments,,,
Pizza,3.5 star rating,chicos,,,$
"Outdoor Gear,Luggage",4.5 star rating,hot accessories,,,$$$
Women's Clothing,2.0 star rating,j jill,,,$$
"Men's Clothing,Women's Clothing,Accessories",3.0 star rating,j crew,,,$$$
"Men's Clothing,Formal Wear",4.0 star rating,jos a bank,,,$$
General Dentistry,,jared,,,
Cosmetics & Beauty Supply,4.5 star rating,loccitane,,,$$$
"Hair Removal,Nail Salons,Eyelash Service",4.0 star rating,la bella,,,$$
"Sports Wear,Women's Clothing,Yoga",4.0 star rating,lululemon athletica,,,$$$
"Women's Clothing,Men's Clothing",3.5 star rating,lucky brand,,,$$$
"Coffee & Tea,Breakfast & Brunch,Sandwiches",4.0 star rating,mcalisters deli,,,$
"Cosmetics & Beauty Supply,Makeup Artists",4.5 star rating,mac cosmetics,,,$$
Cosmetics & Beauty Supply,4.5 star rating,lush,,,$$
Furniture Stores,3.0 star rating,pottery barn,,,$$$
Cosmetics & Beauty Supply,4.5 star rating,perfume max,,,$$$
"Furniture Stores,Mattresses",4.5 star rating,select comfort,,,$$
"Women's Clothing,Lingerie",2.5 star rating,soma intimates,,,$$$
Coffee & Tea,4.0 star rating,starbucks,,,$
"Accessories,Women's Clothing",,talbots,,,
Eyewear & Opticians,4.5 star rating,sunglass hut,,,$$$
American (New),1.0 star rating,the melting pot,,,
"Sports Wear,Outdoor Gear,Accessories",4.0 star rating,the north face,,,$$$
Mobile Phones,4.0 star rating,t mobile,,,$$
"Kitchen & Bath,Specialty Food",4.0 star rating,williams sonoma,,,$$$
Women's Clothing,3.5 star rating,white house black market,,,$$
"Sports Wear,Bikes,Outdoor Gear",4.5 star rating,big dog sportswear,,,$$
"Ice Cream & Frozen Yogurt,Coffee & Tea",4.0 star rating,yoyo bliss bar,,,$$
"Women's Clothing,Men's Clothing,Used, Vintage & Consignment",4.0 star rating,bon worth,,,$
Photographers,5.0 star rating,coleman,,,
Outlet Stores,4.0 star rating,corningrevere,,,$$
"Accessories,Women's Clothing",4.0 star rating,dress barn,,,$$
Shoe Stores,4.0 star rating,easy spirit,,,
"Bakeries,Cupcakes,Gluten-Free",4.5 star rating,kitchen collection,,,$$
Shoe Stores,,factory brand shoes,,,$
Hotels,4.0 star rating,the paper factory,,,$$$
"Men's Clothing,Barbers",4.5 star rating,swank factory store,,,$$$$
Outlet Stores,5.0 star rating,leggs hanes bali playtex,,,
"Men's Clothing,Women's Clothing",2.5 star rating,aeropostale,,,$$
"Sports Wear,Men's Clothing,Women's Clothing",3.5 star rating,american eagle,,,$$
Cosmetics & Beauty Supply,3.5 star rating,bathbody,,,$
"Cosmetics & Beauty Supply,Jewelry,Accessories",3.0 star rating,claires,,,$$
Hotels,4.5 star rating,centennial wireless,,,$$$
Cards & Stationery,3.5 star rating,american greeting,,,$$
"Accessories,Women's Clothing",,liz claiborne,,,
Home Organization,5.0 star rating,deb,,,
"Car Stereo Installation,Auto Customization,Mobile Phones",3.0 star rating,comtronics,,,
"Dive Bars,Pubs",4.0 star rating,elder beerman,,,$
Musicians,4.5 star rating,enzo,,,
Sports Wear,4.0 star rating,game frenzy,,,$$$
"Shoe Stores,Sports Wear",2.0 star rating,finish line,,,$$
Swimming Pools,3.5 star rating,garfields,,,
Health Markets,4.5 star rating,gnc,,,$$
"Accessories,Women's Clothing",,christopherbanks,,,
"Physical Therapy,Fitness & Instruction,Bike Rentals",,golden gear,,,
Hair Salons,2.5 star rating,mastercuts,,,$
Nail Salons,3.0 star rating,k nails,,,$$
Chinese,3.5 star rating,magic wok,,,$
"Donuts,Bakeries",4.5 star rating,lil orbits,,,$
"Accessories,Women's Clothing",3.5 star rating,maurices,,,$$$
"Department Stores,Women's Clothing,Eyewear & Opticians",3.0 star rating,jcpenney,,,$$
"Museums,Venues & Event Spaces",4.5 star rating,moonwalk adventures,,,
"Outdoor Gear,Bike Rentals,Bikes",4.5 star rating,mc sporting goods,,,$$
Piercing,3.5 star rating,piercing pagoda,,,$$
Shoe Stores,3.5 star rating,payless,,,$
"Mobile Phones,Electronics,Hobby Shops",4.5 star rating,radio shack,,,$$
Hair Salons,4.0 star rating,regis,,,$$
"Eyewear & Opticians,Optometrists",4.5 star rating,sears,,,$
"Music & DVDs,Videos & Video Game Rental",4.5 star rating,sam goody,,,$$
"Optometrists,Eyewear & Opticians",4.0 star rating,pearle vision,,,$$
"Local Flavor,Mass Media",2.5 star rating,tax pro filers,,,
Mobile Phones,3.0 star rating,sprint,,,$$
Bookstores,4.5 star rating,waldenbooks,,,$
"Chinese,Food Trucks",4.0 star rating,tims eatery,,,$
"Women's Clothing,Shoe Stores,Men's Clothing",3.5 star rating,the shoe dept,,,$$$$
Weight Loss Centers,4.0 star rating,weight watchers,,,
Jewelry,5.0 star rating,york country designs,,,$$
"Meat Shops,Caterers,Delis",3.0 star rating,honeybaked ham,,,$$
Mexican,4.0 star rating,cinco mexican restaurant,,,$
"Mortgage Brokers,Real Estate Services",5.0 star rating,bank of north georgia,,,
Fast Food,4.0 star rating,chick fil a,,,$
"American (Traditional),Sports Bars,Chicken Wings",2.5 star rating,hooter,,,$$
