category,rate,name,address,url,price_range
"Massage,Nail Salons,Hair Removal",4.0 star rating,allusions,,,$$$
"Peruvian,Italian",4.0 star rating,lucho,,,$$
"Greek,Mediterranean",4.5 star rating,greek pita,,,$$$
Party & Event Planning,,blue rose,,,
"Soul Food,Sandwiches,Breakfast & Brunch",4.0 star rating,waffle house,,,$$
"Auto Glass Services,Windshield Installation & Repair,Auto Customization",5.0 star rating,frontier shades,,,
,,damiani ,,,
"Shoe Stores,Sports Wear",5.0 star rating,call it spring,,,$$
"Motorcycle Dealers,Motorcycle Repair,Leather Goods",4.5 star rating,exotic styles,,,$$
Italian,3.5 star rating,pasta moto,,,$$
Pizza,4.0 star rating,shakeys pizza,,,$$
"Contractors,Roofing,Flooring",5.0 star rating,budget savers,,,
Furniture Reupholstery,5.0 star rating,upgradez,,,
"Men's Clothing,Formal Wear",4.0 star rating,suit exchange,,,$$$
"Arts & Crafts,Art Galleries",5.0 star rating,atelier studio,,,$$
"Landmarks & Historical Buildings,Parks,Tours",4.5 star rating,u s marines corps ,,,
"American (Traditional),Italian",3.5 star rating,dobbs,,,$$
"Sushi Bars,Japanese",4.0 star rating,aloha tower sundries,,,$$
"American (Traditional),Diners",3.5 star rating,south shore cafe,,,$
"Screen Printing,Screen Printing/T-Shirt Printing",5.0 star rating,just t-shirts,,,
"Grocery,Meat Shops",4.0 star rating,stonewall kitchen,,,$$$
Ice Cream & Frozen Yogurt,4.5 star rating,yogurtland,,,$
"Grocery,Ethnic Food",4.0 star rating,calbee shop,,,$$
"Nail Salons,Day Spas",4.0 star rating,solemex,,,$$
Discount Store,,dollar general,,,
"Sports Bars,Mexican",4.0 star rating,buzz bee,,,$
"Hair Extensions,Makeup Artists",4.5 star rating,urban angels,,,$$
Barbers,4.5 star rating,plaza barber,,,$$
"Kitchen & Bath,Home Decor",4.5 star rating,kitchen place,,,$
"Southern,Cajun/Creole",4.0 star rating,justrings,,,$$
Dive Bars,3.5 star rating,no fear hawaii,,,$
Radio Stations,5.0 star rating,x-tream communications,,,
Women's Clothing,3.5 star rating,bcbg,,,$$$
"American (New),Pubs",4.0 star rating,cajun grill dine o rama food court ,,,$$
Sewing & Alterations,,quick jewelry repair,,,
"Chicken Wings,Specialty Food",4.5 star rating,justringz,,,$
Hotels,4.0 star rating,howard payne company,,,$$$
Art Galleries,,artsource,,,
"Department Stores,Men's Clothing,Women's Clothing,Furniture Stores,Flowers & Gifts,Personal Shopping",3.5 star rating,total desire lingerie,,,$$
"Hotels,Venues & Event Spaces",4.0 star rating,visions fed credit union,,,$$$
"General Dentistry,Cosmetic Dentists",4.5 star rating,queens center dental,,,
"Burgers,American (Traditional)",3.0 star rating,teddys bigger burger,,,$$
Churches,5.0 star rating,his place worship center,,,
"Coffee & Tea,Bakeries,Cafes",4.0 star rating,vons pavillion,,,$
"Optometrists,Eyewear & Opticians",4.5 star rating,sunglass oasis,,,$$
"Skin Care,Cosmetics & Beauty Supply,Hair Removal",5.0 star rating,cost cutters product ,,,$$
Burgers,4.0 star rating,islands fine burgers,,,$$
"Accessories,Hats",4.5 star rating,barbers six,,,$$
"Bowling,Breakfast & Brunch,Cocktail Bars",4.0 star rating,fun bowl,,,$$
IT Services & Computer Repair,3.5 star rating,wireless 4u,,,
Fondue,3.5 star rating,portillo jewelry,,,$$$
,,pazazz,,,
"Chicken Wings,Seafood,Fish & Chips",4.0 star rating,jj; cellular repair,,,$$
Grocery,3.0 star rating,cub foods,,,$$
"American (Traditional),Barbeque",3.0 star rating,rib shack,,,$$
"Outdoor Gear,Sports Wear",4.0 star rating,eddie bauer premier,,,$$$
"Mediterranean,Wine Bars,Turkish",3.5 star rating,dunia,,,$$
"Tattoo,Piercing,Jewelry",4.5 star rating,butte cash 4 gold,,,$$
Shanghainese,3.5 star rating,dew drops,,,$
Nail Salons,3.0 star rating,glamour nails,,,$$
"Sewing & Alterations,Appliances & Repair",5.0 star rating,sew so personal,,,
Jewelry,3.5 star rating,something silver,,,$$
Cinema,4.5 star rating,renaissance hplace gifts,,,
Insurance,5.0 star rating,farmers insurance,,,
Dog Parks,4.5 star rating,canine commons,,,
Grocery,3.5 star rating,olin avenue market,,,$$
"Bridal,Jewelry",4.0 star rating,hb salon,,,$$$
"Local Flavor,Mass Media",2.5 star rating,clems jewelry,,,
Airports,4.0 star rating,sprint denver west,,,
"Physical Therapy,Medical Supplies",4.5 star rating,wheelchairs,,,$$
Department Stores,4.0 star rating,dollar store plus,,,
