store_name,store_new_id
1020 glass art,0
anne moore,1
austin java,2
austin macworks,3
bangolufsen,4
bar chi sushi,5
bed beyond,6
best buy,7
boconcept,8
cantina laredo,9
cathys cleaners,10
cru,11
delish,12
design within reach,13
att,14
eliza page,15
estilo boutique,16
etcetera etc,17
finch,18
gallery d,19
girl next door,20
home depot,21
how do you roll?,22
iii forks steakhouse,23
jos hot coffee,24
la condesamalverda,25
lamberts bbq,26
langford market,27
leaf,28
lofty dog,29
malaga,30
malverde,31
mama fus,32
marshalls,33
mercury design studio,34
milkhoney spa,35
missbehave boutique,36
nordstrom,37
peytons place,38
plain ivey jane,39
prize,40
royal blue grocery,41
salon by milkhoney,42
st bernard sports,43
tart frozen yogurt,44
teddies for bettys,45
teuscher chocolates,46
trace,47
violet crown cinema,48
wee,49
muvico theaters,50
toys r us,51
ace hardware,52
bank of america,53
barbeques galore,54
bretts bbq,55
capri blu,56
cinnabar acupuncture clnc,57
civil disobedience,58
coffee bean,59
color me mine,60
cost plus world market,61
cvspharmacy,62
daphnes greek cafe,63
dr melanie wang dds,64
european wax,65
geppettos,66
gloss beauty supply,67
verizon,68
great clips,69
hollywood tans,70
chilis,71
jamba juice,72
jimbos naturally,73
kids care club,74
mabels,75
maggie moos ice cream,76
panera,77
pei wei asian,78
petpeople,79
premier cleaners,80
prestige nail salon,81
credit union,82
pure barre,83
ralphs,84
eye care,85
remax,86
sublime pizza,87
the racquet place,88
the ups store,89
tre womens,90
united self defense,91
wahoos fish taco,92
washington mutual bank,93
wells fargo,94
wendys,95
zocalo,96
alfred angelo bridal,97
ann taylor,98
anthropologie,99
apple computer,100
armandos salon,101
bcbgmaxazria,102
bebe,103
bravo cucina,104
california pizza,105
carolyn pollack jewelry,106
coldwater creek,107
complete nutrition,108
eddie bauer,109
elephant bar,110
fidelity investments,111
francescas,112
gap,113
gymboree,114
hot accessories,115
chicos,116
j jill,117
j crew,118
jared,119
jos a bank,120
la bella,121
loccitane,122
lucky brand,123
lululemon athletica,124
lush,125
mac cosmetics,126
marcellos chophouse,127
mcalisters deli,128
perfume max,129
pottery barn,130
select comfort,131
soma intimates,132
starbucks,133
sunglass hut,134
talbots,135
the melting pot,136
the north face,137
t mobile,138
white house black market,139
williams sonoma,140
yoyo bliss bar,141
big dog sportswear,142
bon worth,143
coleman,144
corningrevere,145
dress barn,146
easy spirit,147
factory brand shoes,148
kitchen collection,149
leggs hanes bali playtex,150
liz claiborne,151
swank factory store,152
the paper factory,153
adrian goldsilver exchange,154
aeropostale,155
american eagle,156
american greeting,157
bathbody,158
centennial wireless,159
claires,160
comtronics,161
deb,162
elder beerman,163
enzo,164
finish line,165
game frenzy,166
garfields,167
gnc,168
golden gear,169
christopherbanks,170
jcpenney,171
k nails,172
kay jewelersrys,173
lil orbits,174
magic wok,175
mastercuts,176
maurices,177
mc sporting goods,178
moonwalk adventures,179
payless,180
pearle vision,181
piercing pagoda,182
radio shack,183
regis,184
rogershollands,185
sam goody,186
sears,187
sprint,188
tax pro filers,189
the shoe dept,190
tims eatery,191
waldenbooks,192
weight watchers,193
york country designs,194
bank of north georgia,195
cinco mexican restaurant,196
honeybaked ham,197
hooter,198
chick fil a,199
chipotle mexican grill,200
jenny craig,201
la fitness,202
lane bryant,203
longhorn steakhouse,204
my friends place,205
nail stop,206
party city,207
pinkberry,208
subway,209
sports authority,210
the vitamin shoppe,211
top spice thaimalaysian,212
winestyles,213
armani,214
abc drugs,215
abc stores centerstage,216
abercrombie,217
al phillips the cleaner,218
ala bella,219
ala moana golf shop,220
aldo,221
american apparel,222
american savings bank,223
amys hallmark,224
animation magic,225
anteprima plastiq,226
as seen on,227
bag n baggage,228
bally,229
banana republic,230
bank of hawaii,231
bare escentuals,232
barnes noble,233
ben bridge,234
betsy johnson,235
blue hawaii lifestyle,236
blue hawaii surf,237
bottega veneta,238
brighton,239
brontibay paris,240
burberry,241
bvlgari,242
cache,243
cartier,244
celebrity tuxedos,245
cinnamon girl,246
clarks,247
club monaco,248
coach,249
cole haan,250
continental airlines,251
crazy shirts,252
crocs,253
damiani,254
dewcarat,255
diane von furstenberg,256
diesel,257
dior,258
disney,259
dooneybourke,260
ecko,261
elephant walk,262
escada,263
express,264
fendi,265
folli follie,266
footlocker,267
forever 21,268
fossil,269
game stop,270
gilly hicks,271
gucci,272
guess,273
harry winston,274
hawaii island creations,275
hawaiian quilt collection,276
hermes,277
hino hairstyleswigs,278
hoala salon and spa,279
hollister,280
honolulu city info,281
honolulu stlte city hall,282
hot topic,283
hula lehua,284
champs sport,285
chanel boutique,286
chanel fine jewelry,287
ilori,288
island edge,289
island magnets,290
janie and jack,291
jeans warehouse,292
macys,293
jimmy choo,294
journeys,295
jtb usa,296
juicy couture,297
jungle fun,298
kahala,299
kate spade,300
lacoste,301
le grand marqet,302
le lotus bleu,303
le lotus bleu mens,304
le sportsac,305
lenscrafter,306
levis,307
lids,308
links of london,309
local motion,310
loco boutique,311
longs drug,312
louis vuitton,313
mani pedi spa,314
martinmacarthur,315
maui divers jewelry,316
maui waterwear,317
max,318
michael kors,319
miu miu,320
montblanc,321
na hoku,322
nails lmour,323
neiman marcus,324
nine west,325
oakley,326
old navy,327
oli oli salon,328
opal fields,329
origins,330
pacific sunwear,331
pandora,332
paniolo trading,333
paris miki optical,334
philip rickard factory,335
philip rickard honolulu,336
pipe dreams,337
ralph lauren,338
ponte vecchio hotta,339
prada donna,340
prototype,341
q pot,342
remix,343
reyns,344
rip curl,345
ritz camera,346
robins shoes,347
salvatore ferragamo,348
san lorenzo bikinis,349
sand people,350
sanrio,351
sephora,352
seras surfshore,353
shirokiya,354
silver rhino,355
skechers,356
solar nail spa,357
spiral girl,358
splash hawaii,359
splash sport,360
split obsession,361
st john,362
sunglass icon,363
swarovski,364
swatch,365
tapestries by hauoli,366
territorial savings,367
the body shop,368
childrens place,369
the islands best,370
lego,371
the slipper house,372
the walking company,373
thinker tots,374
thinker toys,375
thoms barber shop,376
tiffany,377
tommy bahama,378
tori richard,379
tory burch,380
towncountry surf shop,381
trade secret,382
travelex,383
true friends,384
true religion,385
tumi,386
us postal services,387
valerie joseph,388
vans,389
vera bradley,390
victoria secret,391
vim n vigor healthfitn s,392
w salon,393
watumulls,394
wolford boutique,395
barnes noble booksellers,396
barnes noble cafe,397
belk,398
bistro carousel cinemas,399
brixx,400
buffalo wild wings,401
burger king,402
carousel cinemas at alamance crossing,403
cold stone creamery,404
dental works,405
dillards,406
divas nails,407
elite spa,408
hallmark,409
hobby lobby,410
icing by claires,411
justice,412
le creuset,413
lifeway christian,414
loft,415
menswearhouse,416
mimis cafe,417
musicarts,418
new yorkcompany,419
olive garde,420
portrait innovations,421
qdoba mexican grill,422
red bowl asian bistro,423
red robin,424
rue 21,425
tec optometry,426
texas roadhouse,427
sleep number,428
wachovia bank,429
yankee candle,430
alameda art association,431
alameda beauty,432
alameda centre physicians,433
alameda pediatric dentistry,434
alameda towne centre public safety,435
alameda towne cleaners and alterations,436
annas linens,437
antidote salon,438
apple bee,439
avenue,440
bank of alameda,441
beverlys fabriccraft,442
big 5 sporting goods,443
blockbuster,444
bon voyage luggage,445
borders,446
center hours,447
executive martinizing,448
24 hour fitness,449
fruitschocolate,450
gold spot jewelrys,451
handle with care packaging store,452
happy nails,453
chase bank,454
check into cash,455
china gourmet,456
chipotle,457
instant shoe care,458
kohls,459
launderland,460
loard’s ice cream,461
massage envy,462
merle norman,463
modern mouse,464
paganos hardware store,465
pearls deluxe burgers,466
petco,467
ross dress for less,468
safeway,469
sees candies,470
soccer post,471
sophistry custom skin care,472
south shore cafe,473
south shore car wash,474
south shore florist,475
south shore liquors,476
sushi house,477
tj maxx,478
trader joes,479
walgreens,480
zeytini restaurantbar,481
20 nine rest wine bar,482
alta moda,483
amys ice cream,484
ben adams jewelsgifts,485
calico corners,486
canyon cafe,487
club humidor,488
corner bakerycafe,489
crazy 8,490
drapersdamons,491
everything but water,492
ezs brick ovengrill,493
fast forward,494
fire bowl cafe,495
flemings,496
freddys steakburgers,497
charming charlie,498
j alexanders,499
james avery,500
joes crab shack,501
learning express,502
lucchese boot,503
matress firm,504
michaels,505
my fit foods,506
orange cup yogurt,507
oreck,508
p f changs,509
papoulis greek grill,510
quarry nails,511
rack room,512
regal cinemas,513
relax the back,514
restoration hardware,515
tanfastic,516
tgf precision haircutters,517
the woodhouse day spa,518
todays eyes,519
ulta,520
university coop,521
whole earth provision,522
whole foods,523
wolf camera,524
yogurt zone,525
5th avenue fashions,526
a spot,527
abrahams leather,528
albany nails,529
albany newstand,530
ashley stewart,531
auntie anne,532
babbages,533
beautiful brows,534
blue moon yogurt,535
body shop,536
books a million,537
carmens,538
cinnabon,539
city gear,540
eses shoes,541
fye,542
foot action,543
gold n diamonds,544
great american cookie,545
hr block,546
hibbettt,547
china cafe usa,548
chuck e cheese,549
jewelry land,550
jo ann fabricscraft,551
kirklands,552
man alive,553
mw tux,554
nail 1st,555
natural hair wonders,556
olan mills,557
on the spot jewelry,558
oxford st mans,559
petspals,560
prepaid zone,561
prestige jewelry,562
reeds jewelrys,563
sbarro,564
shinaults,565
shirin jewelrys,566
shoe box,567
shoe dept,568
silver city,569
spencer,570
sugar shack,571
sunset grill,572
tas closet,573
treasures,574
university giftsapparel,575
walk n talk t moblsprint,576
wet seal,577
wing dixiedeli,578
wireless communications,579
zales,580
body jewel,581
alley kat,582
amc loews alderwood mall 16,583
aveda,584
bc surfsport,585
beauty works,586
billabong,587
blue c sushi,588
brookstone,589
brow art,590
buckle,591
build a bear,592
cajun grill,593
cash for gold,594
cell phone access,595
claim jumper,596
claires accessories,597
clark’s of england,598
clear,599
coldstone creamery,600
comcast,601
currito burrito,602
daiso,603
diamond wireless,604
empire today,605
etiquette,606
fast fix jewelry repairs,607
forlove 21,608
fred meyer,609
fuego,610
gene juarez salon,611
ghost armor,612
godiva,613
gw portraits,614
helly hansen,615
helzberg diamond,616
hot dog on a stick,617
house of cutlery,618
charley,619
iso beauty,620
jg fashions,621
japan cafe,622
just sports,623
kits camera,624
lava java,625
learning quest toys,626
limited,627
love culture,628
luxury nail,629
macy s,630
made in washington,631
mariners team store,632
marks gold crown hallmark,633
metropark,634
miamax,635
micabella,636
motherhood maternity,637
mrs fields,638
my cute pillow pets,639
naartjie,640
new balance,641
cafe bistro,642
oakley “o” store,643
panda,644
papyrus,645
parfumerie,646
pearle vision center,647
picture people,648
pokemon,649
precision time,650
pro-active,651
pumpkin patch,652
quiznos,653
red mango,654
rei,655
romanos macaroni grill,656
romy,657
rosetta stone,658
sheepskin,659
shiekh,660
silverworks,661
soho,662
spa therapy,663
stride rite,664
sweet factory,665
taco time,666
teavana,667
things remembered,668
urban outfitters,669
victoria secret beauty,670
vitamin world,671
zumiez,672
3 jewelry,673
airbrush la,674
baby world,675
bag it,676
bryans bagsmore,677
bulls gym,678
burlington coat factory,679
california nail,680
cash 4 gold,681
cellular one,682
corn dog 7,683
cubby caboose,684
dead sea products,685
decibel,686
deja view,687
el rodeo,688
body art,689
eyemaster,690
famous wok,691
fashion boutique,692
fashion in style,693
fashion world,694
gold hut,695
gold time,696
gordons jewelrys,697
its fashion,698
jewelry palace,699
karats,700
kostallas,701
lagniappe theater,702
leather shop,703
ny burgerssteaks,704
pacsun,705
perfume gifts,706
perfume plaza,707
rite aid,708
shaans,709
slinkees,710
source clothing,711
sports n more,712
stage,713
suddenlink,714
the avenue,715
watch hut,716
weissgold ring,717
wireless phones,718
xpression,719
archivers,720
biaggis,721
bonefish grill,722
carters,723
cbs outdoors,724
cool cuts 4 kids,725
dicks sporting goods,726
discovery,727
dsw,728
gordmans,729
hot mama,730
houlihans,731
cheeseburgerparadise,732
chicago home fitness,733
kids bunksbeds,734
on the border,735
petsmart,736
shoelace inc,737
st rogers abbey,738
sylvan learning,739
the gourmet kernel,740
thirsty whale,741
venetian nail,742
vino 100,743
almaden musicdance,744
almaden plaza dental care,745
ana furniture,746
apple one employment,747
baskin robbins,748
buybuy baby,749
costco,750
creative hairdressers,751
diddams party store,752
five guy,753
fresh choice,754
happi house,755
house of bagels,756
chase,757
chevys mexican,758
inspa,759
kb fitness,760
majestic beauty supply,761
metlife home loan,762
national first credit,763
omaha steaks,764
orange leaf,765
real produce,766
red lobster,767
style for less,768
tj maxxn more,769
tandoori bistro,770
tillys,771
tuesday morning,772
us recruiting air force,773
us recruiting army,774
us recruiting marines,775
us recruiting navy,776
viva nail salon,777
wingstop,778
work world,779
3 d games,780
air grafix,781
all shoes 9 99,782
belts of the world,783
bigg city,784
cellular zone,785
cosmetic cove,786
creative consumer rsrch,787
cricket,788
err,789
exclusive furniture,790
geovanni clothing,791
gizzmos,792
glitters,793
golddiamond,794
image,795
kaleidoscoop,796
kfc,797
lady world,798
lollipops,799
magic shots,800
mero,801
oro italiano,802
oro perfumania,803
palais royal,804
pcx,805
piccadilly cafeteria,806
rainbow,807
rainbow pluskids,808
sams burgersgyro,809
sesame hut,810
shoe envy,811
star shots,812
thirstys,813
toyz,814
underground station,815
uniforms n more,816
vibrations,817
villa pizza,818
visible changes,819
a t hula,820
aloha candles,821
aloha sushi,822
aloha tower jewelry,823
aloha tower sundries,824
anns fashion,825
at hula,826
bikini cantina,827
casa mia pizzeria,828
ceci,829
coverdat accessories,830
crazy fish,831
daniella,832
don hos island grill,833
elite massage academy,834
elite pacific properties,835
gordon biersch,836
hawaii athletic club,837
hawaiian collection,838
hawaiian ukulele,839
hibiscus collection,840
nail bar,841
chais island bistro,842
imperial gallery,843
island art galleries,844
island casual,845
island fashions,846
island oasis,847
island vintage coffee,848
kabuto,849
les montres,850
lotus healthliving,851
mag neat o,852
maiden hawaii,853
makino chaya,854
melrose,855
millennium,856
nicky shoe company,857
olivias euro collection,858
pacific cabana,859
precious boutique,860
rainbow hawaiian souvenir,861
red bamboo,862
sayumis princess garden,863
star apparel,864
sweet memory chocolates,865
the aloha lounge,866
the waterfront,867
try my dogs,868
gold buyer,869
amc theaters,870
baby gap,871
bahama breeze,872
bakers,873
barnies coffee,874
beya,875
body shop skinhair care,876
club bff,877
cops center,878
dollar mania,879
dq,880
elegant accents,881
express men,882
extreme styles,883
fast fix jewelry repair,884
g by guess,885
hm,886
hovan gourmet,887
chao cajun,888
charlotte russe,889
in touch wireless,890
ink spot,891
