category,rate,name,address,url,price_range
Bakeries,4.5 star rating,kells kreme,,,$$
"Sandwiches,American (New)",4.0 star rating,nordstom cafe,,,$$
"Cafes,Breakfast & Brunch",4.0 star rating,one world,,,
"Japanese,Karaoke,Sushi Bars",4.0 star rating,tokyo sake,,,$$
Shopping Centers,3.0 star rating,white flint shoe repair,,,$$
"Japanese,Sushi Bars",4.0 star rating,fuji sushi bar and grill,,,$$$
"Accountants,Tax Services",4.5 star rating,electronic income tax,,,
Wedding Planning,5.0 star rating,ever,,,
Amusement Parks,3.0 star rating,sunsplash tanning,,,
"Dim Sum,Seafood,Cantonese",3.5 star rating,cny gymnastics,,,$$
"Bakeries,Greek,Mediterranean",4.0 star rating,fudge lady ,,,$
"Barbers,Hair Salons",3.0 star rating,sports clips,,,$$
"Museums,Aquariums",4.0 star rating,ripleys aquarium,,,
"Local Flavor,Local Services",,mix 5,,,
Sports Bars,3.5 star rating,television frenzies,,,$
"Hair Stylists,Hair Extensions",5.0 star rating,dream catchers studio,,,$$
Shopping Centers,3.0 star rating,dillards north,,,$$
,,swings n things,,,
Mobile Phones,2.5 star rating,sprint t-cellular,,,$$$$
"Diners,Burgers",4.0 star rating,allegheny mtn meats,,,$$
"Sports Bars,Lounges,Music Venues",4.5 star rating,score,,,$
"Leather Goods,Men's Clothing,Women's Clothing",2.5 star rating,prada,,,$$$$
Lingerie,4.0 star rating,bath fitter display,,,$$$
"Photography Stores & Services,Photo Booth Rentals",4.5 star rating,airbrush unlimited,,,$$
,,tax express,,,
Italian,3.5 star rating,chaz on the plaza,,,$$$
"Candy Stores,Chocolatiers & Shops,Flowers & Gifts",4.5 star rating,nuts world,,,$$
Heating & Air Conditioning/HVAC,5.0 star rating,air flo heating company,,,
Mexican,3.0 star rating,coa- mex street food,,,$$
"Parks,Local Flavor",4.5 star rating,monkey bizness,,,
,,management offices,,,
"Sushi Bars,Japanese",3.5 star rating,sushi court,,,$
"Sandwiches,American (New)",4.0 star rating,bistro at macys,,,$$
"Irish,Irish Pub",3.5 star rating,piano bash,,,$$
Ice Cream & Frozen Yogurt,3.5 star rating,yobelle,,,$
Cosmetics & Beauty Supply,3.5 star rating,the body shop,,,$$
"Tea Rooms,Vegetarian",4.0 star rating,gentlemans tonic,,,$$
"Venues & Event Spaces,Art Galleries",4.5 star rating,games and things,,,$$
"Home Decor,Furniture Stores",5.0 star rating,asian gift,,,$$
Candy Stores,4.0 star rating,candy jar,,,$$
"Nail Salons,Hair Removal",5.0 star rating,beautiful eyebrows by india,,,$$
Men's Clothing,4.5 star rating,todays man,,,$$$
"Mortgage Brokers,Real Estate Services",5.0 star rating,the keyes company realtor,,,
"Jewelry,Watches",4.0 star rating,chopard,,,$$$$
"Drugstores,Cosmetics & Beauty Supply,Convenience Stores",4.5 star rating,beauty brands,,,$$
Japanese,4.5 star rating,tenshi babies,,,$$$$
"Women's Clothing,Accessories,Eyewear & Opticians",4.0 star rating,ch carolina herrera,,,$$$$
Bookstores,4.5 star rating,emersons cigars,,,$$
Coffee & Tea,3.5 star rating,savannah candy ,,,$
Nail Salons,5.0 star rating,nail first,,,
Hair Salons,4.5 star rating,madison salon,,,$$
Coffee & Tea,4.5 star rating,joys coffee corner,,,$
"Ice Cream & Frozen Yogurt,Desserts",4.0 star rating,iceberry,,,$
Bookstores,4.0 star rating,capitol jewelers,,,$
"Lingerie,Women's Clothing",4.0 star rating,aerie - by american eagle,,,$$
"Pizza,American (Traditional)",3.5 star rating,california pizza,,,$$
Cosmetics & Beauty Supply,2.0 star rating,dead sea,,,$$$$
"Hair Removal,Eyelash Service",5.0 star rating,the art of tthreading,,,$
Public Services & Government,4.0 star rating,christmas in baltimore,,,
"Home Health Care,Counseling & Mental Health",,jcmc health resources,,,
"Photography Stores & Services,Photo Booth Rentals",4.5 star rating,bling bling wireless,,,$$
Professional Services,5.0 star rating,mm; wireless,,,
