Mall Name,Mall State,Mall Address,Mall Phone,Mall Latitude,Mall Longitude,Mall Number of Stores,Mall Stores List
2ND Street District,Texas,"San Antonio, 2nd St. & Brazos, Austin, TX 78701",,29.4461308,-98.4583755,52 stores," 1020 Glass Art |  Anne Moore |  Austin Java |  Austin MacWorks |  Bang & Olufsen |  Bar Chi Sushi |  Bed Bath & Beyond |  Best Buy |  BoConcept |  Cantina Laredo |  Cathy's Cleaners |  CRU |  delish |  Design Within Reach |  Dr. Shane Matt, DDS |  Duo (Coming Soon) |  Eliza Page |  Estilo Boutique |  Etcetera, Etc |  Finch |  gallery d |  Girl Next Door |  Home Depot |  How Do You Roll? |  III Forks Steakhouse |  Jo's Hot Coffee |  La Condesa & Malverda |  Lamberts BBQ |  Langford Market |  Leaf |  Lofty Dog |  Malaga |  Malverde |  Mama Fu's |  Marshalls |  Mercury Design Studio |  Milk & Honey Spa |  Missbehave Boutique |  Nordstrom Rack |  Peyton's Place |  Plain Ivey Jane |  Prize |  Royal Blue Grocery |  Salon by Milk & Honey |  St. Bernard Sports |  Tart Frozen Yogurt |  Teddies for Bettys |  Teuscher Chocolates |  TRACE |  Violet Crown Cinema |  Wee"
321 North,Florida,"321 North University Drive, Plantation, Florida 33324",954.370.1884,26.126574,-80.258394,3 stores, Muvico Theaters |  Toys R Us
4S Commons Town Center,California,"10525 4s Commons Dr San Diego, CA 92127",,33.03926,-117.0676398,48 stores," Ace Hardware |  Bank of America  |  Barbeques Galore |  Bed Bath & Beyond |  Brett's BBQ |  Capri Blu |  Cinnabar Acupuncture Clnc |  Civil Disobedience |  Coffee Bean & Tea |  Color Me Mine |  Cost Plus World Market |  CVS/Pharmacy |  Daphne's Greek Cafe |  Dental Treatment Center |  Dr. Melanie Wang, DDS |  European Wax Center |  Geppetto's Toy Store |  Gloss Beauty Supply |  Go Wireless-Verizon |  Great Clips |  Hollywood Tans |  Chili's |  Jamba Juice |  Jimbo's Naturally |  Kids Care Club |  Mabel's |  MaggieMoo's Ice Cream |  Panera Bread |  Pei Wei Asian Diner |  PetPeople |  Premier Cleaners |  Prestige Nail Salon |  Pt. Loma Credit Union |  pure barre |  Ralphs |  Rancho Bernardo Eye Care |  Re/Max of Rancho Bernado |  Sublime Pizza |  The Racquet Place |  The UPS Store |  TRE Women's |  United Self Defense |  Wahoo's Fish Taco |  Washington Mutual Bank |  Wells Fargo |  Wendy's |  Zocalo Grill"
ABQ Uptown,New Mexico,"2200 Louisiana Blvd NE, Albuquerque, NM 87110-3583",(505) 792-1929,35.10329,-106.567122,48 stores, Alfred Angelo Bridal |  Ann Taylor |  Anthropologie |  Apple Computer |  Armando's Salon |  AT&T; |  BCBGMAXAZRIA |  bebe |  Bravo! Cucina Italiana |  California Pizza Kitchen |  Carolyn Pollack Jewelry |  Coldwater Creek |  Complete Nutrition |  Eddie Bauer |  Elephant Bar |  Fidelity Investments |  Francesca's Collections |  Gap |  Gymboree |  Hot Accessories |  Chico's |  J. Jill |  J.Crew |  Jared The Galleria of Jewelry |  Jos. A. Bank |  La Bella Day Spa |  L'Occitane |  Lucky Brand Jeans |  Lululemon Athletica |  LUSH |  MAC Cosmetics |  Marcello's Chophouse |  Mattress Firm Tempur-Pedic Gallery |  McAlisters Deli |  Perfume Max |  Pottery Barn |  Sleep Number by Select Comfort |  Soma Intimates |  Starbucks Coffee |  Sunglass Hut |  Talbots |  The Melting Pot |  The North Face |  T-Mobile |  White House Black Market |  Williams-Sonoma |  YOYO Bliss Bar
Adirondack Outlet Mall,New York,"1444 State Route 9, Lake George, NY",518-793-2161,43.365724,-73.698445,14 stores, Big Dog Sportswear |  Bon Worth |  Coleman |  Corning / Revere |  Dress Barn / Dress Barn Woman |  Easy Spirit |  Eddie Bauer |  Factory Brand Shoes |  Kitchen Collection |  L'Eggs Hanes Bali Playtex |  Liz Claiborne Outlet |  Swank Factory Store |  The Paper Factory
Adrian Mall,Michigan,"1357 SOUTH MAIN STREET, Adrian, MI",517-263-0685,41.878794,-84.043173,43 stores, Adrian Gold & Silver Exchange |  Aéropostale |  American Eagle Outfitters |  American Greetings |  Bath & Body Works |  Centennial Wireless |  Claire's |  Comtronics |  Deb |  Elder Beerman |  Enzo's Pizza |  Finish Line |  Game Frenzy |  Garfield's |  General Nutrition Center |  Golden Gear |  Christopher & Banks |  JCPenney |  K Nails |  Kay Jewelers |  Lil Orbits |  Magic Wok |  Management Office |  Mastercuts |  Maurices |  MC Sporting Goods |  Moonwalk Adventures |  Payless Shoesource |  Pearle Vision |  Piercing Pagoda |  RadioShack |  Regis |  Rogers & Hollands Jewelers |  Sam Goody |  Sears |  Sprint |  Tax Pro Filers |  The Shoe Dept |  Tim's Eatery |  Waldenbooks |  Weight Watchers |  York Country Designs
Akers Mill Square,Georgia,"Akers Mill Rd. & US Hwy. 41 (Cobb Pkwy.),Atlanta, GA 30339",,33.8921707,-84.4545816,28 stores, Bank of North Georgia |  Bed Bath & Beyond |  Cinco Mexican Restaurant |  HoneyBaked Ham |  Hooter's |  Chick-fil-A |  Chipotle Mexican Grill |  Jenny Craig |  LA Fitness |  Lane Bryant |  LongHorn Steakhouse |  My Friend's Place |  Nail Stop |  OfficeMax |  Party City |  Pinkberry (Frozen Yogurt) |  Sprint PCS |  Subway |  The Sports Authority |  The Vitamin Shoppe |  Top Spice Thai/Malaysian |  Toys R Us |  U.S. Post Office |  Vacant |  Vacant 2 |  Vacant 3 |  WineStyles
Ala Moana Center,Hawaii,"1450 Ala Moana Blvd., Honolulu, HI 96814",808.955.9517,21.2912881,-157.8429647,221 stores," A|X Armani Exchange |  ABC Drugs |  ABC Stores (Centerstage) |  abercrombie |  Abercrombie & Fitch |  Aeropostale |  Al Phillips the Cleaner |  Ala Bella |  Ala Moana Golf Shop |  ALDO Accessories |  Aldo Etc. |  Aldo Shoes |  American Apparel |  American Eagle Outfitters |  American Savings Bank |  Amy's Hallmark |  Animation Magic |  Ann Taylor |  Anteprima Plastiq |  Apple Store |  As Seen On TV Hawaii |  Bag N Baggage |  Bally North America |  Banana Republic |  Bank Of Hawaii Ala Moana |  Bare Escentuals |  Barnes & Noble |  Bath & Body Works |  bebe |  Ben Bridge Jeweler |  Ben Bridge Timeworks |  Betsey Johnson |  Blue Hawaii Lifestyle |  Blue Hawaii Surf |  Bottega Veneta |  Brighton Collectibles |  Brontibay Paris |  Burberry |  BVLGARI |  Cache |  Cartier |  Celebrity Tuxedos (Sears) |  Central Pacific Bank ATM |  Cinnamon Girl |  Claire's  |  Clarks |  Club Monaco |  Coach |  Cole Haan |  Continental Airlines |  Crazy Shirts |  Crocs |  Damiani |  Design Within Reach |  Dewcarat |  Diane von Furstenberg |  Diesel |  Dior |  Disney Store |  Dooney & Bourke |  Ecko Unltd |  Elephant Walk |  Emporio Armani |  Escada |  Express |  Fendi |  Folli Follie |  Foot Locker |  Forever 21 |  Fossil |  GameStop |  Gap  |  GapKids |  Gilly Hicks |  GNC |  Gucci |  Guess |  Gymboree |  Harry Winston |  Hawaii Island Creations |  Hawaiian Quilt Collection |  Hermes |  Hilo Hattie Collection |  Hino Hairstyles & Wigs |  Ho'ala Salon and Spa |  Hollister |  Honolulu City Info |  Honolulu Stlte City Hall |  Hot Topic |  Hula Lehua |  Champs Sports |  CHANEL Boutique |  Chanel Fine Jewelry |  Chico's |  Ilori |  Island Edge |  Island Magnets |  J. Crew-on-the-Island |  Janie and Jack |  Jeans Warehouse |  Jewel Gallery by Macy's |  Jimmy Choo |  Journeys |  JTB USA |  Juicy Couture |  Jungle Fun |  Kahala |  kate spade |  Lacoste |  Lady Foot Locker |  Le Grand Marqet |  Le Lotus Bleu |  Le Lotus Bleu- Mens |  Le Sportsac |  LensCrafters |  Levi's |  Lids |  Links of London |  Local Motion |  L'Occitane |  Loco Boutique |  Long's Drug |  Louis Vuitton |  Lucky Brand Jeans |  Lululemon Athletica |  Lush |  MAC Cosmetics |  Macy's |  Mani Pedi Spa |  Martin & MacArthur |  Maui Divers Jewelry |  Maui WaterWear |  MAX&Co.; |  Michael Kors |  Miu Miu |  Montblanc |  Na Hoku |  Nails L'Mour |  Neiman Marcus |  Nine West |  Nordstrom |  Oakley |  Old Navy (33,221 sq.ft.) |  OLI OLI Salon |  Opal Fields |  Origins |  Pacific Sunwear |  Pandora |  Paniolo Trading Co. |  Paris Miki Optical |  Philip Rickard Factory |  Philip Rickard Honolulu |  Pipe Dreams Surf Co. |  Pitter Patter |  Polo/Ralph Lauren |  Ponte Vecchio Hotta |  Prada Donna |  Prototype |  Q-pot. |  RadioShack |  Regis Salon |  Remix |  Reyn's |  Rip Curl |  Ritz Camera |  Robin's Shoes |  Salvatore Ferragamo |  Sam Goody |  San Lorenzo Bikinis |  Sand People |  Sanrio Surprises |  Sears |  Sephora |  Sera's Surf & Shore |  Shirokiya |  Silver Rhino |  Skechers USA |  Solar Nail Spa |  Spiral Girl |  Splash! Hawaii |  Splash! Sport |  Split Obsession |  St. John |  Sunglass Hut Int'l |  Sunglass Icon |  Swarovski |  Swatch |  Tapestries by Hauoli |  Territorial Savings |  The Body Shop |  The Children's Place |  The Island's Best |  The LEGO Store |  The Slipper House |  The Vitamin Shoppe |  The Walking Company |  Thinker Tots |  Thinker Toys |  Thom's Barber Shop |  Tiffany & Co. |  Tommy Bahama |  Tori Richard |  Tory Burch |  Town & Country Surf Shop |  Trade Secret |  Travelex Foreign Exchange |  True Friends |  True Religion Brand Jeans |  Tumi |  U.S. Postal Services |  Valerie Joseph |  Vans |  Vera Bradley |  Victoria's Secret |  Vim N Vigor Health&Fitn;'s |  W Salon |  Watumull's |  White House|Black Market |  Williams-Sonoma |  Wolford Boutique"
Alamance Crossing,North Carolina,"3330 GARDEN ROAD, Burlington, NC",336-538-1310,36.071571,-79.504957,60 stores, Aeropostale |  American Eagle Outfitters |  AT&T; Mobility |  Bank of America |  Barnes & Noble Booksellers |  Barnes & Noble Cafe |  Bath & Body Works |  Belk |  Bistro at Carousel Cinemas |  Brixx Wood Fired Pizza |  Buffalo Wild Wings |  Burger King |  Carousel Cinemas at Alamance Crossing |  Cold Stone Creamery |  Coldwater Creek |  Dental Works |  Dillard's |  Diva's Nails |  Eddie Bauer |  Elite Spa Nails |  Foot Locker |  General Nutrition Center |  Hallmark |  Hobby Lobby |  Chico's |  Christopher & Banks |  Icing by Claire's |  JCPenney |  JCPenney Portrait |  Jos. A. Bank |  Justice |  Kay Jewelers |  Le Creuset |  LensCrafters |  Lifeway Christian Bookstore |  Loft |  Mattress Firm |  Men's Wearhouse and Tux |  Mimi's Cafe |  Music & Arts Center |  New York & Company |  Olive Garden |  Portrait Innovations |  Qdoba Mexican Grill |  Red Bowl Asian Bistro |  Red Robin Gourmet Burgers |  rue21 |  Sephora |  Sunglass Hut |  Talbots |  TEC Optometry |  Texas Roadhouse |  The Children's Place |  The Shoe Dept. |  The Sleep Number Store |  Verizon Wireless |  Victoria's Secret |  Wachovia Bank |  Yankee Candle Company
Alameda Towne Centre,California,"523 South Shore Center West, Alameda, CA",510-521-1515,37.7595161,-122.2539423,75 stores, Alameda Art Association |  Alameda Beauty |  Alameda Centre Physicians |  Alameda Credit Union |  Alameda Pediatric Dentistry |  Alameda Towne Centre Management Office |  Alameda Towne Centre Public Safety |  Alameda Towne Cleaners and Alterations |  Anna's Linens |  Antidote Salon |  Applebee's |  Avenue |  Bank of Alameda |  Bed Bath & Beyond |  Beverly's Fabric & Craft |  Big 5 Sporting Goods |  Blockbuster Video |  Bon Voyage Luggage |  Borders Books |  Center Hours: |  Color Me Mine |  Daphne's Greek Cafe |  Dress Barn |  European Wax Center |  Executive Martinizing |  Fit-Lite (24-Hour Fitness) |  Fruits & Chocolate |  GNC Live Well |  Gold Spot Jewelers |  Great Clips |  Handle with Care Packaging Store |  Happy Nails |  Chase Bank |  Check Into Cash |  China Gourmet |  Chipotle |  Instant Shoe Care |  Jamba Juice |  Kohl's |  Launderland |  LensCrafters |  Loard’s Ice Cream |  Lost & Found |  Massage Envy |  Merle Norman Cosmetics |  Modern Mouse |  Nine West |  Office Max |  Old Navy |  Pagano's Hardware Store |  Panera Bread |  Payless ShoeSource |  Pearl's Deluxe Burgers |  Petco |  Radio Shack |  Ross Dress For Less |  Safeway |  See's Candies |  Soccer Post |  Sophistry Custom Skin Care |  South Shore Café |  South Shore Car Wash |  South Shore Florist |  South Shore Liquors |  Sprint |  Starbucks |  Subway |  Sushi House |  The Children's Place |  TJ Maxx |  Trader Joe's |  Walgreen's |  Wells Fargo Bank |  Zeytini Restaurant & Bar
