category,rate,name,address,url,price_range
"IT Services & Computer Repair,Computers",4.0 star rating,Austin%20MacWorks,,/biz/austin-macworks-austin-2?osq=Austin+MacWorks,$$
,,Anne%20Moore,,/biz/moore-anne-g-conroe,
"Performing Arts,Art Galleries",4.5 star rating,1020%20Glass%20Art,,/biz/bayou-city-art-festival-memorial-park-houston-2?osq=1020+Glass+Art,$$
"Home Decor,Kitchen & Bath",3.0 star rating,Bed%20Bath%20&%20Beyond,,/biz/bed-bath-and-beyond-houston-5?osq=Bed+Bath,$$
Coffee & Tea,3.5 star rating,Austin%20Java,,/biz/austin-java-austin-3?osq=Austin+Java,$$
"Electronics,Home Theatre Installation",5.0 star rating,Bang%20&%20Olufsen,,/biz/bang-and-olufsen-houston,$$$
"Sushi Bars,Japanese,Seafood",4.0 star rating,Bar%20Chi%20Sushi,,/biz/the-blue-fish-houston-4?osq=Bar+Chi+Sushi,$$
"Computers,Appliances,Electronics",3.5 star rating,Best%20Buy,,/biz/best-buy-houston-10,$$
Dry Cleaning & Laundry,1.0 star rating,Cathy's%20Cleaners,,/biz/cathys-cleaners-austin-7?osq=Cathy%27s+Cleaners,$$
"Furniture Stores,Home Decor,Interior Design",3.0 star rating,BoConcept,,/biz/boconcept-houston-houston,$$$$
Mexican,3.5 star rating,Cantina%20Laredo,,/biz/cantina-laredo-houston,$$
"Furniture Stores,Home Decor",3.5 star rating,Design%20Within%20Reach,,/biz/design-within-reach-houston,$$$
"Wine Bars,American (New)",3.5 star rating,CRU,,/biz/cr%C3%BA-a-wine-bar-houston-2,$$
"Bakeries,Desserts",4.0 star rating,delish,,/biz/delightfully-delish-sweet-treats-spring,$$
"Latin American,Steakhouses",4.0 star rating,Duo%20(Coming%20Soon),,/biz/am%C3%A9ricas-river-oaks-houston-2?osq=Duo+%28Coming+Soon%29,$$$
Hair Salons,4.5 star rating,Estilo%20Boutique,,/biz/blue-mambo-hair-salon-houston?osq=Estilo+Boutique,$$
"Jewelry,Accessories",4.0 star rating,Eliza%20Page,,/biz/eliza-page-austin?osq=Eliza+Page,$$$
"Toy Stores,Baby Gear & Furniture,Children's Clothing",3.5 star rating,"Etcetera,%20Etc",,/biz/kid-to-kid-houston-galleria-houston?osq=Etcetera%2C+Etc,$$
"Auto Parts & Supplies,Auto Repair",,Finch,,/biz/finch-alternator-and-starter-rebuilders-houston,
"Accessories,Women's Clothing,Men's Clothing",4.5 star rating,gallery%20d,,/biz/hello-lucky-houston?osq=gallery+d,$$
"Nurseries & Gardening,Appliances,Hardware Stores",3.5 star rating,Home%20Depot,,/biz/the-home-depot-houston-5,$$
Women's Clothing,3.0 star rating,Girl%20Next%20Door,,/biz/girl-next-door-austin?osq=Girl+Next+Door,$$$
,,La%20Condesa%20&%20Malverda,,/biz/tortas-la-condesa-houston,
Steakhouses,3.5 star rating,III%20Forks%20Steakhouse,,/biz/iii-forks-houston,$$$
"Cafes,Coffee & Tea",4.5 star rating,Jo's%20Hot%20Coffee,,/biz/boomtown-coffee-houston?osq=Jo%27s+Hot+Coffee,$
"Women's Clothing,Accessories",4.0 star rating,Langford%20Market,,/biz/langford-market-houston,$$
"Wine Bars,American (New),Breakfast & Brunch",4.0 star rating,Lamberts%20BBQ,,/biz/maxs-wine-dive-houston-3?osq=Lamberts+BBQ,$$
Sushi Bars,3.5 star rating,How%20Do%20You%20Roll?,,/biz/how-do-you-roll-houston-2,$
Malaysian,3.5 star rating,Leaf,,/biz/banana-leaf-houston,$$
"Tapas Bars,Spanish",3.5 star rating,Malaga,,/biz/malaga-austin?osq=Malaga,$$
Pet Services,5.0 star rating,Lofty%20Dog,,/biz/lofty-dog-austin-2?osq=Lofty+Dog,
Venues & Event Spaces,5.0 star rating,Malverde,,/biz/malverde-austin-2?osq=Malverde,
"Home Decor,Antiques",4.5 star rating,Mercury%20Design%20Studio,,/biz/mercury-design-studio-austin?osq=Mercury+Design+Studio,$$$
Department Stores,4.0 star rating,Marshalls,,/biz/marshalls-houston-12,$$
"Asian Fusion,Chinese,Vietnamese",2.5 star rating,Mama%20Fu's,,/biz/mama-fus-asian-house-houston,$
"Women's Clothing,Jewelry",2.5 star rating,Missbehave%20Boutique,,/biz/missbehave-boutique-austin?osq=Missbehave+Boutique,$$$
Lactation Services,5.0 star rating,Milk%20&%20Honey%20Spa,,/biz/texas-childrens-lactation-and-milk-bank-services-houston,
Department Stores,3.5 star rating,Nordstrom%20Rack,,/biz/nordstrom-rack-houston,$$
,,Peyton's%20Place,,/biz/peyton-place-austin?osq=Peyton%27s+Place,
Bars,4.0 star rating,Prize,,/biz/grand-prize-bar-houston,$
"Lingerie,Women's Clothing",4.5 star rating,Teddies%20for%20Bettys,,/biz/teddies-for-bettys-austin?osq=Teddies+for+Bettys,$$$
"Beer, Wine & Spirits,Grocery",3.0 star rating,Royal%20Blue%20Grocery,,/biz/royal-blue-grocery-austin-5?osq=Royal+Blue+Grocery,$$$
Hair Salons,4.0 star rating,Salon%20by%20Milk%20&%20Honey,,/biz/salon-by-milk-honey-austin-2?osq=Salon+by+Milk,$$$
"Accessories,Men's Clothing,Women's Clothing",3.5 star rating,St.%20Bernard%20Sports,,/biz/st-bernard-sports-austin?osq=St.+Bernard+Sports,$$$
,,TRACE,,/biz/trace-oil-and-gas-co-houston,
Ice Cream & Frozen Yogurt,4.5 star rating,Tart%20Frozen%20Yogurt,,/biz/yogurtland-houston?osq=Tart+Frozen+Yogurt,$
Cinema,4.0 star rating,Violet%20Crown%20Cinema,,/biz/violet-crown-cinema-austin?osq=Violet+Crown+Cinema,
Cinema,3.0 star rating,Muvico%20Theaters,,/biz/muvico-hialeah-12-hialeah?osq=Muvico+Theaters,
Restaurants,5.0 star rating,Wee,,/biz/pee-wees-snack-shack-houston,$
Toy Stores,4.5 star rating,Toys%20R%20Us,,/biz/toys-r-us-miami-9,$$
Hardware Stores,4.5 star rating,Ace%20Hardware,,/biz/ace-hardware-el-segundo,$$
Appliances,2.5 star rating,Barbeques%20Galore,,/biz/barbeques-galore-los-angeles,$$$
Banks & Credit Unions,3.5 star rating,Bank%20of%20America,,/biz/bank-of-america-los-angeles-40,
Barbeque,4.0 star rating,Brett's%20BBQ,,/biz/bretts-bbq-encinitas?osq=Brett%27s+BBQ,$$
"Women's Clothing,Accessories",4.0 star rating,Civil%20Disobedience,,/biz/civil-disobedience-san-diego-2?osq=Civil+Disobedience,$$
Restaurants,,Capri%20Blu,,/biz/capri-blu-newport-beach,
Drugstores,3.5 star rating,CVS/Pharmacy,,/biz/cvs-pharmacy-los-angeles-55,$$
"Art Classes,Party & Event Planning",4.0 star rating,Color%20Me%20Mine,,/biz/color-me-mine-beverly-hills,
Coffee & Tea,4.0 star rating,Coffee%20Bean%20&%20Tea,,/biz/the-coffee-bean-and-tea-leaf-los-angeles-16?osq=Coffee+Bean,$
"Furniture Stores,Beer, Wine & Spirits,Home Decor",4.0 star rating,Cost%20Plus%20World%20Market,,/biz/cost-plus-world-market-los-angeles-2,$$
"Gastropubs,American (New)",4.0 star rating,"Dr.%20Melanie%20Wang,%20DDS",,/biz/beer-belly-los-angeles-2?osq=Dr.+Melanie+Wang%2C+DDS,$$
"Greek,Mediterranean",3.0 star rating,Daphne's%20Greek%20Cafe,,/biz/daphnes-california-greek-culver-city?osq=Daphne%27s+Greek+Cafe,$
"Electronics Repair,Office Equipment",5.0 star rating,Geppetto's%20Toy%20Store,,/biz/us-office-machine-co-los-angeles?osq=Geppetto%27s+Toy+Store,$$
Hair Removal,4.5 star rating,European%20Wax%20Center,,/biz/european-wax-center-los-angeles-3,$$
"General Dentistry,Periodontists,Orthodontists",4.5 star rating,Dental%20Treatment%20Center,,/biz/miracle-mile-comprehensive-dental-center-los-angeles-2?osq=Dental+Treatment+Center,
"Hair Salons,Cosmetics & Beauty Supply",5.0 star rating,Gloss%20Beauty%20Supply,,/biz/industry-dtla-los-angeles?osq=Gloss+Beauty+Supply,$$
